This file was generated by Console at 2021:05:06-00:00:01



[2021:05:06-00:01:17]  (Local) -> (LOCAL)[3]caicerl4kl: me daño eñ carrp
[2021:05:06-00:01:20]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner|2cb: donde es la fiesta
[2021:05:06-00:01:21]  (Local) -> (LOCAL)[2]mata: Calderon simp
[2021:05:06-00:01:22]  (Local) -> (LOCAL)[1]a---Mp: me vale sapo
[2021:05:06-00:01:22]  (Global) -> #7F7F7F|DJ|#FF5C00Henry: acción turbo!
[2021:05:06-00:01:22]  (Local) -> (LOCAL)[5]Yesid_[CDG]: q hace?
[2021:05:06-00:01:24]  (Global) -> #7F7F7F|DJ|#FF5C00Henry: a
[2021:05:06-00:01:24]  (Local) -> (LOCAL)[7]Gauss|ELN: bueno, si algo le digo pal minitanque
[2021:05:06-00:01:25]  (Local) -> (LOCAL)[2]CALDERON|AUC|: ai
[2021:05:06-00:01:28]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF0000Meguu~: ok
[2021:05:06-00:01:28]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Jimenez: No
[2021:05:06-00:01:29]  ([Msg] de Julio para Lil_Dilangroserin'CDG: solo tengo una faggio jsajsasa) -> nil
[2021:05:06-00:01:30]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Jimenez: JJAJAJA
[2021:05:06-00:01:30]  (Global) -> BenitoCampos: Dizque xhupandole el chimbo a un timbo
[2021:05:06-00:01:30]  (Global) -> Oconner|2cb|#9E016Cඞ: accion turbo activada pa ut sabe jaja
[2021:05:06-00:01:33]  (Local) -> (LOCAL)[5]Azrael: hola bro
[2021:05:06-00:01:34]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: ._.
[2021:05:06-00:01:37]  (Global) -> Sofi: vamos a el concierto a bailar
[2021:05:06-00:01:40]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: jajajaaja y serie :(
[2021:05:06-00:01:41]  (Local) -> (LOCAL)[1]DAVID: /resign
[2021:05:06-00:01:41]  (Global) -> #7F7F7F|ADM|#FF0000Meguu~|#C0FF00 ✘: vendo ht 2
[2021:05:06-00:01:42]  (Global) -> GordoBM|#000000侍: llego mi culon ahs
[2021:05:06-00:01:45]  ([Msg] de Lil_Dilangroserin'CDG para Julio: 48 y un carrito ay) -> nil
[2021:05:06-00:01:45]  (Local) -> (LOCAL)[4]Oconner|2cb: va
[2021:05:06-00:01:47]  (Global) -> Yesid_[CDG]: #00FF00 HENRY
[2021:05:06-00:01:48]  (Global) -> CALDERON|AUC||#C0FF00 ✘: Ash-Chirri||EVG||[2] puro falseto con delirios de parcero
[2021:05:06-00:01:49]  (Local) -> (LOCAL)[4]Azrael: ire a ponerme de criminal
[2021:05:06-00:01:50]  (Local) -> (LOCAL)[4]Oconner|2cb: a sacar los pasos prohibidos
[2021:05:06-00:01:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: No se de que hablas
[2021:05:06-00:01:56]  (Local) -> (LOCAL)[4]pinina: uy eso eso
[2021:05:06-00:01:58]  (Local) -> (LOCAL)[2]Felipe's|ILLUMINATI: mmm
[2021:05:06-00:01:59]  (Local) -> (LOCAL)[5]capojuan-.-Z: vamos?
[2021:05:06-00:01:59]  (Local) -> (LOCAL)[5]Yesid_[CDG]: MMMM YA OK MANO
[2021:05:06-00:01:59]  (Global) -> Sofi: sisi
[2021:05:06-00:02:00]  (Local) -> (LOCAL)[4]DENII|CAPU: megu
[2021:05:06-00:02:02]  (Local) -> (LOCAL)[2]Felipe's|ILLUMINATI: a ver
[2021:05:06-00:02:05]  (Local) -> (LOCAL)[1]ELMIGUE(ELN): OE
[2021:05:06-00:02:06]  (Local) -> (LOCAL)[6]Azrael: vamos si quieren
[2021:05:06-00:02:06]  (Local) -> (LOCAL)[1]DAVID: /resign
[2021:05:06-00:02:07]  (Local) -> (LOCAL)[9]Oreo: pongase un tema
[2021:05:06-00:02:10]  (Local) -> (LOCAL)[9]DENII|CAPU: en cuanto venderias la freeway
[2021:05:06-00:02:14]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: ahorita hice como 20 acciones drift
[2021:05:06-00:02:14]  (Local) -> (LOCAL)[6]capojuan-.-Z: subete
[2021:05:06-00:02:19]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF0000Meguu~: 40
[2021:05:06-00:02:21]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: pero eso no da ni un peso
[2021:05:06-00:02:22]  (Local) -> (LOCAL)[1]Nicole: ...
[2021:05:06-00:02:23]  ([Msg] de Julio para Lil_Dilangroserin'CDG: solo tengo una faggio, roadtrain y mountanbike) -> nil
[2021:05:06-00:02:25]  (Local) -> (LOCAL)[2]TiroVisco|ELN|.: venga
