This file was generated by Console at 2021:05:30-00:00:02



[2021:05:30-00:01:52]  (Global) -> JuanPablo'2cb|#9E016Cà¶ž: ese man q
[2021:05:30-00:01:52]  (Global) -> bblin^Z|#000000í µí³©: jjjjjjjjjjjj mlp omar
[2021:05:30-00:01:55]  (Local) -> (LOCAL)[5]camilo_||2cb||: vamos rapido
[2021:05:30-00:01:55]  (Local) -> (LOCAL)[5]Andres/ZETAS: wi
[2021:05:30-00:01:59]  (Global) -> Andres/ZETAS: wi
[2021:05:30-00:02:02]  (Local) -> (LOCAL)[3]JuanPablo'2cb: NAH BAZU
[2021:05:30-00:02:04]  (Local) -> (LOCAL)[3]JuanPablo'2cb: es 2cb
[2021:05:30-00:02:05]  (Global) -> #7F7F7F|ADM|#FF0000aspiriina|#83FF00ÊÄ‘à¸—: xd
[2021:05:30-00:02:06]  (Local) -> (LOCAL)[2]BAZUDLBABYS2Cv: q
[2021:05:30-00:02:07]  (Local) -> (LOCAL)[4]Andres/ZETAS: llegamos pai
[2021:05:30-00:02:13]  (Local) -> (LOCAL)[9]OMAR25.ZETAS: el empezo
[2021:05:30-00:02:16]  (Global) -> JUAN__ELN: am
[2021:05:30-00:02:17]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF8C00Llanerito'ELN': oe
[2021:05:30-00:02:18]  (Global) -> JUAN__ELN: adm
[2021:05:30-00:02:22]  (Local) -> (LOCAL)[4]JuanPablo'2cb: digame
[2021:05:30-00:02:24]  (Global) -> Azrael*AUC: Van a prohibir la comida chatarra???
[2021:05:30-00:02:26]  (Local) -> (LOCAL)[8]bblin^Z: con u
[2021:05:30-00:02:27]  (Local) -> (LOCAL)[8]OMAR25.ZETAS: no puedo aqui
[2021:05:30-00:02:27]  (Global) -> JUAN__ELN: tu sabes donde esta pablo
[2021:05:30-00:02:28]  (Local) -> (LOCAL)[8]bblin^Z: g
[2021:05:30-00:02:30]  (Global) -> Stitches!~>|(CDG)||#A016EFí ½í¸ˆ: COMPRO HR 3 <33
[2021:05:30-00:02:31]  (Local) -> (LOCAL)[2]BAZUDLBABYS2Cv: mano digale al bobotron de naruto que esta joda y joda con mp
[2021:05:30-00:02:32]  (Global) -> Patricio'ELN'|#CBFF00âœ˜ :  #000000 â–‚#FFFFFFâ–‚â–‚âŒ‡ 
[2021:05:30-00:02:33]  (Local) -> (LOCAL)[9]camilo_||2cb||: JAJAJJA
[2021:05:30-00:02:33]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00Llanerito'ELN': ?
[2021:05:30-00:02:34]  (Local) -> (LOCAL)[2]BAZUDLBABYS2Cv: que se comporte
[2021:05:30-00:02:34]  (Global) -> Dua|2cB||#1BC45Fâ˜…Æ§Æ§â˜…: briderandres ontas?
[2021:05:30-00:02:38]  (Local) -> (LOCAL)[2]BAZUDLBABYS2Cv: que si no se quite el mp
[2021:05:30-00:02:40]  (Global) -> MICHAEL|ELN: Azrael*AUC que?
[2021:05:30-00:02:45]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00Llanerito'ELN': que hace , atropellar
[2021:05:30-00:02:47]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00Llanerito'ELN': con mp?
[2021:05:30-00:02:49]  (Local) -> (LOCAL)[8]briderandres: aqui
[2021:05:30-00:02:49]  (Local) -> (LOCAL)[2]BAZUDLBABYS2Cv: si
[2021:05:30-00:02:52]  (Local) -> (LOCAL)[6]Dua|2cB|: xd
[2021:05:30-00:02:55]  (Global) -> JUAN__ELN: adm
[2021:05:30-00:02:55]  (Local) -> (LOCAL)[8]JuanPablo'2cb: subete
[2021:05:30-00:02:57]  (Global) -> Azrael*AUC: algo asi escuche
[2021:05:30-00:02:59]  (Local) -> (LOCAL)[7]Dua|2cB|: Me toco comprar taser
[2021:05:30-00:02:59]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00Llanerito'ELN': vale
[2021:05:30-00:03:00]  (Local) -> (LOCAL)[1]BAZUDLBABYS2Cv: canson el hombre
[2021:05:30-00:03:01]  (Local) -> (LOCAL)[12]Rip~: auc
[2021:05:30-00:03:03]  (Local) -> (LOCAL)[1]BAZUDLBABYS2Cv: gracias
[2021:05:30-00:03:05]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00Llanerito'ELN': si sigue toma reporte
[2021:05:30-00:03:05]  (Global) -> MICHAEL|ELN: debe ser mentira
[2021:05:30-00:03:07]  (Local) -> (LOCAL)[5]JuanPablo'2cb: bro
[2021:05:30-00:03:08]  (Local) -> (LOCAL)[1]BAZUDLBABYS2Cv: ok
