This file was generated by Console at 2021:05:17-00:00:01



[2021:05:17-00:00:59]  (Local) -> (LOCAL)[6]camila:3cb: quien esta hablando?
[2021:05:17-00:01:02]  (Global) -> Nestor_Alejandro: DJ Pana diga por la radio que un palo el que me mate
[2021:05:17-00:01:02]  (Local) -> (LOCAL)[15]peneConcabezaBig: dele shit para la primera persona
[2021:05:17-00:01:03]  (Local) -> (LOCAL)[15]W->JuanPablo-Serio: falta fabiu
[2021:05:17-00:01:04]  (Local) -> (LOCAL)[15]Gotsse'2cb: POTAXIO
[2021:05:17-00:01:04]  (Local) -> (LOCAL)[8]Andres_Ramires||2cb||: A NO TENGO MODS
[2021:05:17-00:01:05]  (Global) -> el_costa: admin donde se trbaja de alquria?
[2021:05:17-00:01:06]  (Local) -> (LOCAL)[2]Alberto_ValamadreCDG: Se lo bajaron
[2021:05:17-00:01:10]  (Team - Criminals) -> (TEAM)ROGER*_*K: ESCRIBE A WASP
[2021:05:17-00:01:11]  (Local) -> (LOCAL)[15]W->JuanPablo-Serio: xdd
[2021:05:17-00:01:11]  (Local) -> (LOCAL)[15]Gotsse'2cb: asdjasdjas
[2021:05:17-00:01:12]  (Local) -> (LOCAL)[15]prod1gy'2cb: CON ARRO BLANCO
[2021:05:17-00:01:13]  (Local) -> (LOCAL)[2]Alberto_ValamadreCDG: Eso paso xd
[2021:05:17-00:01:14]  (Global) -> Azrael*AUC: oreo mi hermanito
[2021:05:17-00:01:14]  (Local) -> (LOCAL)[5]ROGER*_*K: YA
[2021:05:17-00:01:16]  (Global) -> Raptus: noo
[2021:05:17-00:01:16]  (Local) -> (LOCAL)[15]Gotsse'2cb: NOOO
[2021:05:17-00:01:17]  (Local) -> (LOCAL)[1]Henry|: desde alla
[2021:05:17-00:01:19]  (Global) -> Cardenas320(ELN): hazme un hijo DJ
[2021:05:17-00:01:20]  (Local) -> (LOCAL)[6]MenorKaguanAB: paselo
[2021:05:17-00:01:20]  (Team - Unemployed) -> (TEAM)Raptus: ese no es
[2021:05:17-00:01:20]  (Local) -> (LOCAL)[15]W->JuanPablo-Serio: hacele ome
[2021:05:17-00:01:20]  (Local) -> (LOCAL)[15]Tartaru$ZcB: JAJJAJAJ
[2021:05:17-00:01:21]  (Global) -> $^Lucifer^$: parce guieme que soy nuevo
[2021:05:17-00:01:21]  (Global) -> Cardenas320(ELN): JAJAJJA
[2021:05:17-00:01:23]  (Local) -> (LOCAL)[15]Gotsse'2cb: sajdasdj
[2021:05:17-00:01:26]  (Local) -> (LOCAL)[6]camila:3cb: deje de molestar
[2021:05:17-00:01:26]  (Local) -> (LOCAL)[15]#7F7F7F|ADM|#FF5C00Jimenez: fabisu
[2021:05:17-00:01:27]  (Team - Criminals) -> (TEAM)W->JuanPablo-Serio: ujajajaja
[2021:05:17-00:01:27]  (Local) -> (LOCAL)[15]SantaTrinidad"2cb: no hay todo el dia
[2021:05:17-00:01:28]  (Local) -> (LOCAL)[1]DARC: ahora?
[2021:05:17-00:01:28]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: q
[2021:05:17-00:01:29]  (Local) -> (LOCAL)[15]#7F7F7F|ADM|#FF5C00Jimenez: ya lo tepeo
[2021:05:17-00:01:30]  (Local) -> (LOCAL)[15]#Yimer100'SiCkOMoDe: Como te cuesta gordo de mrda
[2021:05:17-00:01:30]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: jajaja
[2021:05:17-00:01:30]  (Local) -> (LOCAL)[15]Prada<~|Z|: Fabius chistosin
[2021:05:17-00:01:30]  (Local) -> (LOCAL)[6]Alberto_ValamadreCDG: Y me arresta :v
[2021:05:17-00:01:31]  (Local) -> (LOCAL)[15]peneConcabezaBig: xdd
[2021:05:17-00:01:31]  (Local) -> (LOCAL)[15]prod1gy'2cb: RAPIDO ERMANO Q NO TENGO TIEMPO
[2021:05:17-00:01:33]  (Global) -> #7F7F7F|ADM|#FF8C00Nicole|#EB4E89ㅇㅅㅇ: DJ ME PONES Y SI LA VES DE ÑEJO PORFA 
[2021:05:17-00:01:33]  (Local) -> (LOCAL)[15]Gotsse'2cb: ajsdasjd
[2021:05:17-00:01:34]  (Local) -> (LOCAL)[15]SantaTrinidad"2cb: na
[2021:05:17-00:01:34]  (Global) -> MiguelM[ELN]: xd
[2021:05:17-00:01:37]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: que carro es?
[2021:05:17-00:01:37]  (Local) -> (LOCAL)[6]Alberto_ValamadreCDG: Ni modo de ayudarlo
[2021:05:17-00:01:37]  (Team - Criminals) -> (TEAM)ROGER*_*K: PERO EN EL JUEGO
[2021:05:17-00:01:38]  (Local) -> (LOCAL)[6]JuanJuan'ELN: bajese le pido disculpas
[2021:05:17-00:01:42]  (Local) -> (LOCAL)[4]$^Lucifer^$: lo arreste?
[2021:05:17-00:01:42]  (Local) -> (LOCAL)[6]Raptus: yo tengo eso bug
[2021:05:17-00:01:42]  (Local) -> (LOCAL)[16]prod1gy'2cb: Q SE VAYA A PATAA
[2021:05:17-00:01:42]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: le sigue saliendo en el celular?
[2021:05:17-00:01:42]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: BUENO GENTE VOLVIMOSSSS
[2021:05:17-00:01:43]  (Local) -> (LOCAL)[16]F4B1US___________!'2CB: vamonos
[2021:05:17-00:01:44]  (Local) -> (LOCAL)[6]Raptus: ahg
[2021:05:17-00:01:44]  (Local) -> (LOCAL)[16]W->JuanPablo-Serio: ;-;
[2021:05:17-00:01:44]  (Team - Criminals) -> (TEAM)ROGER*_*K: IDIOTA
[2021:05:17-00:01:45]  (Local) -> (LOCAL)[17]F4B1US___________!'2CB: adios
[2021:05:17-00:01:45]  (Local) -> (LOCAL)[6]MenorKaguanAB: breve loca
[2021:05:17-00:01:45]  (Local) -> (LOCAL)[17]W->JuanPablo-Serio: XDDD
[2021:05:17-00:01:46]  (Local) -> (LOCAL)[3]Alberto_ValamadreCDG: Si
[2021:05:17-00:01:46]  (Local) -> (LOCAL)[6]camila:3cb: perdon=?
[2021:05:17-00:01:47]  (Local) -> (LOCAL)[17]Gotsse'2cb: y se bajan dos
[2021:05:17-00:01:47]  (Local) -> (LOCAL)[6]Raptus: si
[2021:05:17-00:01:48]  (Local) -> (LOCAL)[17]Gotsse'2cb: JSAD
[2021:05:17-00:01:48]  (Local) -> (LOCAL)[17]#Yimer100'SiCkOMoDe: En vez de estremear haz ejercicio gordito
[2021:05:17-00:01:50]  (Local) -> (LOCAL)[1]DARC: jili
[2021:05:17-00:01:51]  (Local) -> (LOCAL)[6]camila:3cb: este carro es mio
[2021:05:17-00:01:52]  (Local) -> (LOCAL)[17]F4B1US___________!'2CB: xao xao
[2021:05:17-00:01:52]  (Local) -> (LOCAL)[4]$^Lucifer^$: como si no lo mate?
[2021:05:17-00:01:52]  (Local) -> (LOCAL)[1]DARC: los escucha?
[2021:05:17-00:01:55]  (Local) -> (LOCAL)[6]MenorKaguanAB: ni sabia que habia wpp por aca pedazo de culo
[2021:05:17-00:01:59]  (Local) -> (LOCAL)[6]Raptus: es un merit
[2021:05:17-00:01:59]  (Local) -> (LOCAL)[6]JuanJuan'ELN: venga ps
[2021:05:17-00:02:00]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: DJ MIGUELM EN LA RADIO, PIDAN SUS PLAYS, SUS CANCIONES FAVORITAS Y PARCHENSE UN RATOO
[2021:05:17-00:02:00]  (Local) -> (LOCAL)[1]JulianBc: no dani
[2021:05:17-00:02:01]  (Global) -> #7F7F7F|ADM|#FF8C00Nicole|#EB4E89ㅇㅅㅇ: Que temota 
[2021:05:17-00:02:01]  (Global) -> Nestor_Alejandro: Miguel diga por la radio que 1 palo el que me mate
[2021:05:17-00:02:01]  (Local) -> (LOCAL)[6]camila:3cb: no sea descarado
[2021:05:17-00:02:02]  (Global) -> BajaPantys420|ELN: LA BUENA PAL DJJJJJJJJJJJJJJJJJJJJJ <3333
[2021:05:17-00:02:02]  (Global) -> prod1gy'2cb|#9E016Cඞ: AAA LO DEJAN A UNO BOTADO
[2021:05:17-00:02:03]  (Local) -> (LOCAL)[1]DARC: ash
[2021:05:17-00:02:04]  (Local) -> (LOCAL)[6]JuanJuan'ELN: le pido disculpas
[2021:05:17-00:02:06]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: tiene que darle primero en recuperar, luego en mostrar
[2021:05:17-00:02:06]  (Team - Criminals) -> (TEAM)MenorKaguanAB: uuk
[2021:05:17-00:02:06]  (Local) -> (LOCAL)[13]peneConcabezaBig: mano me pika el pie
[2021:05:17-00:02:08]  (Local) -> (LOCAL)[6]Raptus: pero esta todo bugueado eso
[2021:05:17-00:02:09]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: y ahi si lo trae
[2021:05:17-00:02:10]  (Team - Services) -> (TEAM)Azrael*AUC: oreo que quiero mucho
[2021:05:17-00:02:11]  (Local) -> (LOCAL)[12]peneConcabezaBig: xdddddddddddddddd
[2021:05:17-00:02:12]  (Global) -> W->JuanPablo-Serio|#9E016Cඞ: ñero
[2021:05:17-00:02:13]  (Local) -> (LOCAL)[7]Alberto_ValamadreCDG: Con el bolillo
[2021:05:17-00:02:13]  (Team - Criminals) -> (TEAM)ROGER*_*K: YA
[2021:05:17-00:02:14]  (Global) -> camila:3cb: adm
[2021:05:17-00:02:14]  (Team - Unemployed) -> (TEAM)DARC:  hay si?
[2021:05:17-00:02:15]  (Global) -> camila:3cb: adm
[2021:05:17-00:02:16]  (Global) -> W->JuanPablo-Serio|#9E016Cඞ: me cai
[2021:05:17-00:02:16]  (Global) -> Gotsse'2cb|#9E016Cඞ: ajsdsajd
