This file was generated by Console at 2021:05:11-00:00:02



[2021:05:11-00:02:05]  (Local) -> (LOCAL)[2]Don|Jimenez: te puedo ablar de mi sv
[2021:05:11-00:02:05]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): alv verga
[2021:05:11-00:02:05]  (Local) -> (LOCAL)[2]Tartarus30FpsZcb: a?¡
[2021:05:11-00:02:07]  (Local) -> (LOCAL)[1]DonBazuco|2CV: Tuneaos u defaunt
[2021:05:11-00:02:08]  (Local) -> (LOCAL)[2]Don|Jimenez: ??
[2021:05:11-00:02:09]  (Global) -> THEPIPE134: usted esta dispuesto a matar tombos conmigo?=
[2021:05:11-00:02:10]  (Global) -> lizi: mami palos 15 ajaajajaj
[2021:05:11-00:02:11]  (Local) -> (LOCAL)[2]IceWipe: como hace pa tenerlo mas pequeño
[2021:05:11-00:02:17]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: default
[2021:05:11-00:02:20]  (Local) -> (LOCAL)[2]Tartarus30FpsZcb: ?
[2021:05:11-00:02:23]  (Local) -> (LOCAL)[1]DonBazuco|2CV: pr?
[2021:05:11-00:02:23]  (Local) -> (LOCAL)[2]Gomita|Z: Jolyne'2cb[5]
[2021:05:11-00:02:24]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000lauuu: no se puede hablar de otros servidores aca
[2021:05:11-00:02:29]  (Local) -> (LOCAL)[3]IceWipe: en hidraulico
[2021:05:11-00:02:29]  (Local) -> (LOCAL)[2]Don|Jimenez: en f3
[2021:05:11-00:02:34]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: umm mayores
[2021:05:11-00:02:34]  (Local) -> (LOCAL)[3]DonJoaquin(CDG): eres ilegal :(
[2021:05:11-00:02:38]  (Local) -> (LOCAL)[1]DonBazuco|2CV: por?
[2021:05:11-00:02:39]  (Local) -> (LOCAL)[3]Tartarus30FpsZcb: nose
[2021:05:11-00:02:40]  (Global) -> DIego_Butizarra(z): oe lau
[2021:05:11-00:02:41]  (Local) -> (LOCAL)[4]braiderandres: OLA
[2021:05:11-00:02:42]  (Global) -> #000000C4rtex|#000000侍: eche cole
[2021:05:11-00:02:43]  (Local) -> (LOCAL)[4]DonJoaquin(CDG): pero seremos amigos
[2021:05:11-00:02:46]  (Local) -> (LOCAL)[4]ANDREA:3|Z|: na mentira 15
[2021:05:11-00:02:46]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: dime
[2021:05:11-00:02:47]  (Global) -> DIego_Butizarra(z): como veo la experiencia que tengo
[2021:05:11-00:02:52]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: pues pq con ese se compite
[2021:05:11-00:02:53]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): a weno entoces si
[2021:05:11-00:02:53]  (Global) -> DIego_Butizarra(z): en algun trabajo
[2021:05:11-00:02:54]  (Local) -> (LOCAL)[2]Don|Jimenez: noo te vayass
[2021:05:11-00:02:56]  (Local) -> (LOCAL)[2]DangerousBooger55: jmhnygfdgre
[2021:05:11-00:02:58]  (Local) -> (LOCAL)[1]C4rtex: k hubo
[2021:05:11-00:03:02]  (Global) -> lizi: yo casi 15 hp pa echar farra gono
[2021:05:11-00:03:03]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: no está activado eso ahorita
[2021:05:11-00:03:04]  (Global) -> Don|Jimenez: oe me das dinero no tengo autos
[2021:05:11-00:03:06]  (Local) -> (LOCAL)[5]Gomita|Z: Jolyne'2cb[5]
[2021:05:11-00:03:07]  (Local) -> (LOCAL)[3]ANDREA:3|Z|: ahorita se lo paso
[2021:05:11-00:03:08]  (Local) -> (LOCAL)[1]DonBazuco|2CV: Ve mano porque no me sale la cubierta?
[2021:05:11-00:03:08]  (Global) -> DIego_Butizarra(z): ahh vale
[2021:05:11-00:03:08]  (Global) -> Murdock: hey manito donde queda el puteadero
[2021:05:11-00:03:10]  (Global) -> DIego_Butizarra(z): gracias
[2021:05:11-00:03:10]  (Local) -> (LOCAL)[2]IceWipe: oreo
[2021:05:11-00:03:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000lauuu: no tengo plata
[2021:05:11-00:03:12]  (Global) -> #EB4E89FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: encanado
[2021:05:11-00:03:13]  (Local) -> (LOCAL)[4]ANDREA:3|Z|: mejor mi g
[2021:05:11-00:03:13]  (Local) -> (LOCAL)[4]DonJoaquin(CDG): oji
[2021:05:11-00:03:14]  (Global) -> #EB4E89FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: pero nunca callado
[2021:05:11-00:03:16]  (Local) -> (LOCAL)[1]C4rtex: veni te llevo parcero
[2021:05:11-00:03:25]  (Global) -> #000000Soltec|EVGays|#000000侍: FreseoKKK|EVG
[2021:05:11-00:03:26]  (Local) -> (LOCAL)[3]Azrael*AUC: hola
[2021:05:11-00:03:27]  (Local) -> (LOCAL)[2]C4rtex: enga
[2021:05:11-00:03:28]  (Global) -> #EB4E89FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: yo
[2021:05:11-00:03:29]  (Local) -> (LOCAL)[2]IceWipe: omreom
[2021:05:11-00:03:30]  (Global) -> #000000Soltec|EVGays|#000000侍: onta
[2021:05:11-00:03:36]  (Global) -> #EB4E89FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: hermano no lee q encandao
[2021:05:11-00:03:41]  (Global) -> #000000Soltec|EVGays|#000000侍: no
[2021:05:11-00:03:52]  (Global) -> lizi: pigan me lleban al  bancoo nesesito sacar plata pa sacar mi cRRO
[2021:05:11-00:03:52]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: estefaniamaruland12
[2021:05:11-00:03:53]  (Local) -> (LOCAL)[3]C4rtex: ese man q
[2021:05:11-00:04:06]  (Local) -> (LOCAL)[2]C4rtex: zonas
[2021:05:11-00:04:08]  (Local) -> (LOCAL)[2]Soltec|EVGays: aok
[2021:05:11-00:04:16]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): eso mes de discord verdad
[2021:05:11-00:04:25]  (Local) -> (LOCAL)[2]C4rtex: prb
[2021:05:11-00:04:27]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: que}
[2021:05:11-00:04:39]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): eso xdxd
[2021:05:11-00:04:41]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: es instagramaaaaa
[2021:05:11-00:04:46]  (Local) -> (LOCAL)[1]DonJoaquin(CDG): lo de estefania
[2021:05:11-00:04:46]  (Global) -> lizi: ME ESEPRAN...
[2021:05:11-00:04:49]  (Local) -> (LOCAL)[1]DonJoaquin(CDG): aaaaaaa
[2021:05:11-00:04:54]  (Local) -> (LOCAL)[1]DonJoaquin(CDG): no tengo xdxdxd
[2021:05:11-00:04:57]  (Local) -> (LOCAL)[4]Tartarus30FpsZcb: este mansoito
[2021:05:11-00:04:58]  (Global) -> Luis_Iriarte: oe
[2021:05:11-00:05:00]  (Local) -> (LOCAL)[4]Tartarus30FpsZcb: se va report
[2021:05:11-00:05:04]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: facebook
[2021:05:11-00:05:04]  (Global) -> JUANABANANA: quiere lsd?
[2021:05:11-00:05:07]  (Local) -> (LOCAL)[1]ANDREA:3|Z|: ?'
[2021:05:11-00:05:09]  (Global) -> freiman: que
[2021:05:11-00:05:10]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): oe
[2021:05:11-00:05:13]  (Global) -> #EB4E89FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: 50seg
[2021:05:11-00:05:13]  (Team - Services) -> (TEAM)TochyPelaTombos: /result4809
[2021:05:11-00:05:15]  (Global) -> #EB4E89FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: a
[2021:05:11-00:05:15]  (Local) -> (LOCAL)[1]snyder_david: me arresto
[2021:05:11-00:05:17]  (Global) -> Luis_Iriarte: me deja ver como corre esa solair
[2021:05:11-00:05:19]  (Local) -> (LOCAL)[1]DonJoaquin(CDG): si pero no lo utilizo pero weno
[2021:05:11-00:05:19]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): no puede matar trabajadores xdddd
[2021:05:11-00:05:25]  (Global) -> JUANABANANA: le vwndo lsd
[2021:05:11-00:05:25]  (Global) -> Murdock: papeles joven
[2021:05:11-00:05:26]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): donde lo vean le dan ban mijo
[2021:05:11-00:05:27]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: jaja
[2021:05:11-00:05:32]  (Local) -> (LOCAL)[1]ANDREA:3|Z|: estefania marulanda
[2021:05:11-00:05:33]  (Global) -> #000000Soltec|EVGays|#000000侍: XCDDDD
[2021:05:11-00:05:37]  (Global) -> helado2cb: admin ayuda estoy bug
[2021:05:11-00:05:38]  (Local) -> (LOCAL)[1]DonJoaquin(CDG): es mejor el whts
[2021:05:11-00:05:41]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: bug como
[2021:05:11-00:05:43]  (Global) -> freiman: esque se voltea mucho
[2021:05:11-00:05:53]  (Global) -> helado2cb: veo todo invisible
[2021:05:11-00:06:00]  (Local) -> (LOCAL)[1]DonJoaquin(CDG): xd
[2021:05:11-00:06:06]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: pera
[2021:05:11-00:06:09]  (Local) -> (LOCAL)[2]Gomita|Z: Oconner'2cb
[2021:05:11-00:06:10]  (Local) -> (LOCAL)[3]C4rtex: aya
[2021:05:11-00:06:10]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: estas en un in terior{
[2021:05:11-00:06:11]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): oki
[2021:05:11-00:06:14]  (Global) -> helado2cb: si ayuda
[2021:05:11-00:06:14]  (Local) -> (LOCAL)[2]Oconner'2cb: oeloo
[2021:05:11-00:06:20]  (Local) -> (LOCAL)[2]Gomita|Z: le vendo el S2000
[2021:05:11-00:06:21]  (Local) -> (LOCAL)[4]Soltec|EVGays: FreseoKKK|EVG
[2021:05:11-00:06:21]  (Global) -> lizi: AAAWW graasias 
[2021:05:11-00:06:22]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: pero ud tiene estrellas
[2021:05:11-00:06:23]  (Local) -> (LOCAL)[2]Gw|Zetas: a
[2021:05:11-00:06:25]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: kiere q se las quite
[2021:05:11-00:06:26]  (Local) -> (LOCAL)[4]FreseoKKK|EVG: yom
[2021:05:11-00:06:27]  (Local) -> (LOCAL)[4]Soltec|EVGays: arresteme
[2021:05:11-00:06:27]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: mmm
[2021:05:11-00:06:29]  (Global) -> helado2cb: noo
[2021:05:11-00:06:29]  (Local) -> (LOCAL)[3]FreseoKKK|EVG: q
[2021:05:11-00:06:30]  (Global) -> #EB4E89Tochi:3|#EB4E89ㅇㅅㅇ: 7gc mano tengo 5 estrellas
[2021:05:11-00:06:34]  (Global) -> #000000Soltec|EVGays|#000000侍: aok
[2021:05:11-00:06:34]  (Global) -> Don|Jimenez: como se ponia una skin??
[2021:05:11-00:06:35]  (Global) -> helado2cb: un jail
[2021:05:11-00:06:39]  (Local) -> (LOCAL)[3]ANDREA:3|Z|: 3218554061
[2021:05:11-00:06:42]  (Local) -> (LOCAL)[2]Oconner'2cb: antes necesito un dinerito q me falta pa un supra tengo q ver q carro vender :/
[2021:05:11-00:06:44]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ:  /ponerskin
[2021:05:11-00:06:46]  (Local) -> (LOCAL)[2]Oconner'2cb: en cuanto lo esta vendiendo
[2021:05:11-00:06:47]  (Local) -> (LOCAL)[3]DonJoaquin(CDG): listo
[2021:05:11-00:06:49]  (Local) -> (LOCAL)[3]ANDREA:3|Z|: la foto es de mi hermana tranquilo
[2021:05:11-00:06:52]  (Global) -> DIego_Butizarra(z): oe lau puedes mandar tp?
