This file was generated by Console at 2020:09:12-00:00:00



[2020:09:12-00:01:46]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: señor a su izquierda se podra apreciar el mar
[2020:09:12-00:01:49]  (Global) -> VALLUNITO: Todo bn o q loli
[2020:09:12-00:01:50]  (Global) -> (RCA)Soltec: vamos
[2020:09:12-00:01:54]  (Local) -> (LOCAL)[8][Zetas]SR-OscarP: soplemele aqui
[2020:09:12-00:01:55]  (Local) -> (LOCAL)[3](CTS)EL-PIROMANO: no sabe disparar mas bien
[2020:09:12-00:01:55]  (Local) -> (LOCAL)[8]Carlitosbebe: ese es
[2020:09:12-00:01:56]  (Global) -> |DV|pollozaki: tonmo hp
[2020:09:12-00:01:58]  (Local) -> (LOCAL)[7]Carlitosbebe: ese es
[2020:09:12-00:01:58]  (Global) -> JuanPablo: jajajajjajajajajaja
[2020:09:12-00:01:59]  (Local) -> (LOCAL)[7]Santimil: lo voy a reportar
[2020:09:12-00:02:00]  (Global) -> [GT]JuanesPastor: Tombo para que se deja encanar
[2020:09:12-00:02:03]  (Local) -> (LOCAL)[7]Carlitosbebe: esteee
[2020:09:12-00:02:03]  (Local) -> (LOCAL)[5]Coronel_Mario: muack
[2020:09:12-00:02:03]  (Global) -> Mr.Nea.: oe ya 
[2020:09:12-00:02:04]  (Global) -> (RCA)Soltec: pa donde
[2020:09:12-00:02:05]  (Local) -> (LOCAL)[7]JuanPablo: mero bug
[2020:09:12-00:02:06]  (Local) -> (LOCAL)[5](CTS)EL-PIROMANO: quiere que me quede parado para que nos maten noob
[2020:09:12-00:02:06]  (Local) -> (LOCAL)[7]MIGUEL14501: bufff
[2020:09:12-00:02:07]  (Local) -> (LOCAL)[1]GT|Cheverry: q
[2020:09:12-00:02:09]  (Global) -> (RCA)SingleChamber: camioneros
[2020:09:12-00:02:10]  (Global) -> Mr.Nea.: escucho este tema
[2020:09:12-00:02:11]  (Local) -> (LOCAL)[7]Carlitosbebe: como hago?
[2020:09:12-00:02:13]  (Global) -> Mr.Nea.: espere lo busco
[2020:09:12-00:02:14]  (Local) -> (LOCAL)[7]MIGUEL14501: ajjaja
[2020:09:12-00:02:14]  (Global) -> (RCA)Soltec: ojo con la caja
[2020:09:12-00:02:14]  (Global) -> MauroHPTA: ole
[2020:09:12-00:02:14]  (Global) -> Coronel_Mario: ajajajaj buenaaaa
[2020:09:12-00:02:16]  (Local) -> (LOCAL)[8][Z]DanielFly: los tkm
[2020:09:12-00:02:19]  (Local) -> (LOCAL)[7][Zetas]SR-OscarP: estan melos
[2020:09:12-00:02:20]  (Global) -> TamalconPan: que paso?
[2020:09:12-00:02:20]  (Global) -> Coronel_Mario: deles
[2020:09:12-00:02:21]  (Local) -> (LOCAL)[7]Carlitosbebe: olvidalaaaa
[2020:09:12-00:02:21]  (Global) -> MauroHPTA: pq no habla
[2020:09:12-00:02:22]  (Global) -> Coronel_Mario: besitooo
[2020:09:12-00:02:24]  (Local) -> (LOCAL)[5]Carlitosbebe: mejor olvidala
[2020:09:12-00:02:26]  (Local) -> (LOCAL)[5][Zetas]SR-OscarP: echnse otras
[2020:09:12-00:02:27]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Muy lindo, me recuerda a una culiada
[2020:09:12-00:02:27]  (Global) -> TamalconPan: estamos hablando
[2020:09:12-00:02:28]  (Local) -> (LOCAL)[5][Z]DanielFly: obvi
[2020:09:12-00:02:29]  (Local) -> (LOCAL)[5]MIGUEL14501: sisa
[2020:09:12-00:02:30]  (Local) -> (LOCAL)[4](CT.S)MAURO: mlp
[2020:09:12-00:02:31]  (Global) -> Coronel_Mario: jajaja
[2020:09:12-00:02:33]  (Local) -> (LOCAL)[4](CTS)EL-PIROMANO: mucho manco
[2020:09:12-00:02:35]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: por lo salado?
[2020:09:12-00:02:36]  (Local) -> (LOCAL)[5][Zetas]SR-OscarP: oeee
[2020:09:12-00:02:39]  (Global) -> (RCA)GustavoPetro: LALOLI
[2020:09:12-00:02:40]  (Local) -> (LOCAL)[5][Zetas]SR-OscarP: nos bamos
[2020:09:12-00:02:41]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Ay jueputa
[2020:09:12-00:02:41]  (Local) -> (LOCAL)[2]VALLUNITO: beso de 3
[2020:09:12-00:02:46]  (Local) -> (LOCAL)[4](CT.S)MAURO: oe perra
[2020:09:12-00:02:46]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: me andan buscandooo
[2020:09:12-00:02:48]  (Local) -> (LOCAL)[2]JuanPablo: oeeeeee
[2020:09:12-00:02:50]  (Local) -> (LOCAL)[2]JuanPablo: pls
[2020:09:12-00:02:53]  (Global) -> GT|~[La_Loli]~: oe petro
[2020:09:12-00:02:54]  (Local) -> (LOCAL)[5]JuanPablo: le tiro la liga
[2020:09:12-00:02:57]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Eso se merece una polita
[2020:09:12-00:02:58]  (Local) -> (LOCAL)[3]JuanPablo: ud es bueno yo se
[2020:09:12-00:02:58]  (Local) -> (LOCAL)[5][Zetas]SR-OscarP: parecerito
[2020:09:12-00:02:59]  (Local) -> (LOCAL)[3]Santimil: 50k
[2020:09:12-00:02:59]  (Global) -> (RCA)Soltec: a pata
[2020:09:12-00:03:02]  (Local) -> (LOCAL)[2]BrayTaxista: asies
[2020:09:12-00:03:03]  (Local) -> (LOCAL)[1]JuanPablo: hagale
[2020:09:12-00:03:05]  (Local) -> (LOCAL)[2]BrayTaxista: que pola gusta
[2020:09:12-00:03:05]  (Global) -> (RCA)GustavoPetro: OE DONDE ESTA OLI
[2020:09:12-00:03:06]  (Local) -> (LOCAL)[3]Santimil: ya
[2020:09:12-00:03:07]  (Local) -> (LOCAL)[2]BrayTaxista: poker
[2020:09:12-00:03:07]  (Global) -> (RCA)SingleChamber: hptaa
[2020:09:12-00:03:08]  (Local) -> (LOCAL)[1]GT|Cheverry: melo
[2020:09:12-00:03:09]  (Local) -> (LOCAL)[3]BrayTaxista: corona
[2020:09:12-00:03:11]  (Local) -> (LOCAL)[3]Santimil: 1
[2020:09:12-00:03:12]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Por favor
[2020:09:12-00:03:13]  (Local) -> (LOCAL)[3]JuanPablo: pero me soltaas primero por q ya me han robado
[2020:09:12-00:03:13]  (Global) -> GT|~[La_Loli]~: deja hagoi unos vuelos y nos vemos
[2020:09:12-00:03:14]  (Local) -> (LOCAL)[4](CTS)EL-PIROMANO: /pajas
[2020:09:12-00:03:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Na poker
[2020:09:12-00:03:16]  (Global) -> Oscar--__--: te sigo Bro
[2020:09:12-00:03:16]  (Local) -> (LOCAL)[2]BrayTaxista: listo
[2020:09:12-00:03:22]  (Local) -> (LOCAL)[2]BrayTaxista: le da una corona**
[2020:09:12-00:03:23]  (Global) -> Haski_Scott: Petro deje de ser intenso pa
[2020:09:12-00:03:24]  (Global) -> (RCA)GustavoPetro: DALE ME HABLAS
[2020:09:12-00:03:26]  (Global) -> POPI(BORRACHO): OLVIDALA MEJOR OLVIDALAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2020:09:12-00:03:27]  (Local) -> (LOCAL)[1][GT]JuanesPastor: nooooooooooooo solo tazer cacorrin
[2020:09:12-00:03:34]  (Global) -> Coronel_Mario: muak
[2020:09:12-00:03:34]  (Local) -> (LOCAL)[3]BrayTaxista: le da una poker**
[2020:09:12-00:03:34]  (Global) -> TamalconPan: porque no habla?
