This file was generated by Console at 2020:10:15-00:00:03



[2020:10:15-00:02:15]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: SOACHA ES
[2020:10:15-00:02:17]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_:  
[2020:10:15-00:02:17]  (Local) -> (LOCAL)[11]|GT|~SubditoDeSatanas: nah ese bind
[2020:10:15-00:02:18]  (Local) -> (LOCAL)[10]|GT|~SubditoDeSatanas: no me sirve
[2020:10:15-00:02:19]  (Global) -> [Z]_VALLUNITO_: a
[2020:10:15-00:02:21]  (Local) -> (LOCAL)[9]|GT|~SubditoDeSatanas: gt es mi gang
[2020:10:15-00:02:23]  (Global) -> Jabon: la capital de pais
[2020:10:15-00:02:23]  (Local) -> (LOCAL)[9]2cb'tussy: entonces
[2020:10:15-00:02:24]  (Global) -> herreblos: ud s0lo
[2020:10:15-00:02:29]  (Local) -> (LOCAL)[10]2cb'tussy: /bind w perder contra 2cb
[2020:10:15-00:02:31]  (Global) -> [Z]_VALLUNITO_: ya empezó el show de duque
[2020:10:15-00:02:31]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: LA CAPITAL DEL MUNDO
[2020:10:15-00:02:32]  (Local) -> (LOCAL)[10]2cb'betobullicio: q c dicen
[2020:10:15-00:02:40]  (Global) -> [Z]_VALLUNITO_: la sucursal del cielo
[2020:10:15-00:02:48]  (Global) -> [ZETAS]Tartarus: herre venga
[2020:10:15-00:02:49]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF00002cBerna: imagina estar hablando de las turf
[2020:10:15-00:02:53]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: HERREBLOS
[2020:10:15-00:02:55]  (Local) -> (LOCAL)[6][GT]rafa_el_mocho: como andamos
[2020:10:15-00:02:56]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: UD DE DONDE ES
[2020:10:15-00:03:01]  (Global) -> herreblos: bogota
[2020:10:15-00:03:02]  (Global) -> [Z]XhnGuaracha: semds 
[2020:10:15-00:03:03]  (Global) -> [ZETAS]Tartarus: necoclí
[2020:10:15-00:03:03]  (Global) -> Jabon: de tumaco
[2020:10:15-00:03:05]  (Global) -> 2cB|Diosito: xd
[2020:10:15-00:03:06]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: dim
[2020:10:15-00:03:08]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: e
[2020:10:15-00:03:11]  (Global) -> 2cb'diilan: na
[2020:10:15-00:03:12]  (Global) -> [GT]LEANDRO: na puros vip los 2cb
[2020:10:15-00:03:13]  (Local) -> (LOCAL)[10]2cb'tussy: juanpablo aprovecao
[2020:10:15-00:03:13]  (Global) -> herreblos: de ud 
[2020:10:15-00:03:16]  (Global) -> [Z]XhnGuaracha: CARRY ME
[2020:10:15-00:03:16]  (Global) -> [Z]_VALLUNITO_: como así q ocampo es de manizales
[2020:10:15-00:03:19]  (Global) -> 2cb'tussy: digale a subdito q le compre vip
[2020:10:15-00:03:22]  (Global) -> 2cb'Chirretico: 0 vip mi pp
[2020:10:15-00:03:28]  (Global) -> herreblos: cayate pastusa
[2020:10:15-00:03:36]  (Global) -> rocho: hola
[2020:10:15-00:03:37]  (Global) -> [Z]_VALLUNITO_: como así q ocampo es de chinchiná
[2020:10:15-00:03:38]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: jjjjjjjjjjjjjjjjjjjjjjjjjajjjjjjjjjjjjjjjjja
[2020:10:15-00:03:41]  (Global) -> (BGW)CHOCORRAMOCAMILOP: xzed
[2020:10:15-00:03:41]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: pastusi
[2020:10:15-00:03:42]  (Local) -> (LOCAL)[8]2cb'JuanPablo: cual aprovechado mamelo sapo
[2020:10:15-00:03:50]  (Global) -> herreblos: cayate pastusa
[2020:10:15-00:03:51]  (Global) -> 2cb'diilan: EZZZZZZZZZZZZZZZZZ
[2020:10:15-00:03:53]  (Global) -> 2cb'diilan: EZZZZZZZZZZZZZZZZZ
[2020:10:15-00:03:57]  (Local) -> (LOCAL)[1][LR]Uniqua[GT]: lleveme al aero
[2020:10:15-00:03:58]  (Local) -> (LOCAL)[9]GT|Jhojan: me voy
[2020:10:15-00:03:58]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: gracias a dios soy rolo y blanquito
[2020:10:15-00:04:02]  (Global) -> 2cb'diilan: ?
[2020:10:15-00:04:03]  (Local) -> (LOCAL)[8]GT|Jhojan: huele a chucha
[2020:10:15-00:04:05]  (Global) -> herreblos: jaja lindo
[2020:10:15-00:04:08]  (Team - Criminals) -> (TEAM)GT|Jhojan: mucho 2cb
[2020:10:15-00:04:14]  (Global) -> 2cB|Diosito: nice
[2020:10:15-00:04:20]  (Local) -> (LOCAL)[7](BGW)CHOCORRAMOCAMILOP: muchos poco level
[2020:10:15-00:04:24]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF00002cBerna: when haces tus momos
[2020:10:15-00:04:25]  (Local) -> (LOCAL)[7]2cb'tussy: si yo
[2020:10:15-00:04:30]  (Global) -> 2cb'diilan: GAMER
[2020:10:15-00:04:32]  (Local) -> (LOCAL)[1]Willy: jeje
[2020:10:15-00:04:33]  (Global) -> herreblos: ud 
[2020:10:15-00:04:35]  (Global) -> 2cb'JuanPablo: oe
[2020:10:15-00:04:37]  (Local) -> (LOCAL)[0][S.A.S][S]Drogota: pagan melo en rappi_
[2020:10:15-00:04:37]  (Local) -> (LOCAL)[1]2cb'Python: .__. aa
[2020:10:15-00:04:38]  (Local) -> (LOCAL)[1][CAPU]DONpenecabezon: wenas
[2020:10:15-00:04:48]  (Local) -> (LOCAL)[0][Z]XhnGuaracha: pues ahorita estaban quitandole las turf re facul los 2cb
[2020:10:15-00:04:49]  (Global) -> 2cb'JuanPablo: no veo las armas ni la vida ;-:
[2020:10:15-00:04:50]  (Global) -> rocho: me duele el pipi
[2020:10:15-00:05:01]  (Global) -> 2cb'betobullicio: excusas
[2020:10:15-00:05:02]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: a mi tmbn
[2020:10:15-00:05:03]  (Global) -> 2cb'JuanPablo: bosnian
[2020:10:15-00:05:08]  (Local) -> (LOCAL)[1][S.A.S][S]Drogota: cuanto pagan el rappi_
[2020:10:15-00:05:08]  (Global) -> 2cb'betobullicio: q
[2020:10:15-00:05:11]  (Global) -> [S.A.S][S]Drogota: ?
[2020:10:15-00:05:13]  (Global) -> 2cb'JuanPablo: no veo las armas
[2020:10:15-00:05:16]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: log: olaxd
[2020:10:15-00:05:19]  (Global) -> 2cb'ARETE: los santos estan solos
[2020:10:15-00:05:19]  (Local) -> (LOCAL)[9]2cb'diilan: EZ
[2020:10:15-00:05:20]  (Local) -> (LOCAL)[9]2cb'pablitopai: uy 1000 de ping
[2020:10:15-00:05:21]  (Local) -> (LOCAL)[3]Jabon: SAKSJAKSJ
[2020:10:15-00:05:21]  (Global) -> 2cb'betobullicio: xq no tienes shawnoff
[2020:10:15-00:05:26]  (Global) -> 2cb'betobullicio: puras excusas
[2020:10:15-00:05:26]  (Global) -> jiitwas245: NO TANTO
