This file was generated by Console at 2020:10:24-00:00:00



[2020:10:24-00:01:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFZllanerito: si
[2020:10:24-00:01:16]  (Local) -> (LOCAL)[2]2cb.MCLOVIN007: listo bb
[2020:10:24-00:01:18]  (Local) -> (LOCAL)[11]2cb'tussy: pinina
[2020:10:24-00:01:21]  (Local) -> (LOCAL)[11]2cb'tussy: hableme
[2020:10:24-00:01:22]  (Global) -> solason: Reizer
[2020:10:24-00:01:23]  (Local) -> (LOCAL)[11]2cb'Lovell: pero el red
[2020:10:24-00:01:24]  (Global) -> solason: Reizer
[2020:10:24-00:01:24]  (Local) -> (LOCAL)[11]2cb'tussy: DEJALO
[2020:10:24-00:01:25]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: oe
[2020:10:24-00:01:25]  (Local) -> (LOCAL)[11]2cb'Lovell: q si lo va a stremear
[2020:10:24-00:01:25]  (Local) -> (LOCAL)[1][GT]soplacucas: uhs oe nea como compro el vip
[2020:10:24-00:01:26]  (Local) -> (LOCAL)[11]2cb'tussy: HPTA CANSON
[2020:10:24-00:01:26]  (Global) -> OLAVE: oe
[2020:10:24-00:01:29]  (Global) -> 2cb'Royal: oe
[2020:10:24-00:01:31]  (Global) -> kpinto12: si ya lo vi deme1 minuto
[2020:10:24-00:01:31]  (Global) -> solason: VIENES PORFA uWU
[2020:10:24-00:01:34]  (Local) -> (LOCAL)[8]|GT|stivenv28'LP: quietos
[2020:10:24-00:01:36]  (Local) -> (LOCAL)[8]2cb'JuanPablo: vamos sapo
[2020:10:24-00:01:40]  (Local) -> (LOCAL)[9]2cb'FabiusxK: jajaja
[2020:10:24-00:01:40]  (Local) -> (LOCAL)[9]2cb'tussy: ._.
[2020:10:24-00:01:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFZllanerito: en el discord
[2020:10:24-00:01:42]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: si es algo tonto te baneo
[2020:10:24-00:01:42]  (Global) -> 2cb.MCLOVIN007: pulga pulga pulgaa donde andaaa?
[2020:10:24-00:01:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFZllanerito: de cvr
[2020:10:24-00:01:44]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: jaja
[2020:10:24-00:01:44]  (Global) -> solason: no
[2020:10:24-00:01:45]  (Local) -> (LOCAL)[9]2cb'tussy: PIrobo canson
[2020:10:24-00:01:47]  (Local) -> (LOCAL)[8]2cb'FabiusxK: ajajajajajajajaja
[2020:10:24-00:01:49]  (Global) -> #7F7F7F|CVR|#FFFF00[EVG]CrudoMeansRaw: XDD
[2020:10:24-00:01:49]  (Global) -> solason: es importante XD
[2020:10:24-00:01:51]  (Local) -> (LOCAL)[1][GT]soplacucas: sisas pero en que canal
[2020:10:24-00:01:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFZllanerito: en vip informacion
[2020:10:24-00:01:54]  (Local) -> (LOCAL)[1]solason: ola
[2020:10:24-00:01:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: dime
[2020:10:24-00:01:56]  (Local) -> (LOCAL)[1]solason: mira
[2020:10:24-00:01:57]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFZllanerito: esta todo pa
[2020:10:24-00:01:58]  (Local) -> (LOCAL)[1]2cb'Royal: aca
[2020:10:24-00:01:59]  (Global) -> PapuCaliche: wao, como 20 
[2020:10:24-00:01:59]  (Local) -> (LOCAL)[10]2cb'FabiusxK: el hp todo emocionado a dar bala
[2020:10:24-00:02:01]  (Local) -> (LOCAL)[1]2cb'Royal: deberian casarse
[2020:10:24-00:02:05]  (Local) -> (LOCAL)[1]solason: como saco carros de la tienda k ya no quiero vender?
[2020:10:24-00:02:06]  (Local) -> (LOCAL)[10]2cb'Lovell: XDDDD
[2020:10:24-00:02:06]  (Local) -> (LOCAL)[10]2cb'JuanPablo: rapido omeee
[2020:10:24-00:02:11]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF8C00ReizerB: no se puede
[2020:10:24-00:02:12]  (Local) -> (LOCAL)[9]2cb'Lovell: lo dejo como papa
[2020:10:24-00:02:12]  (Local) -> (LOCAL)[1]2cb'Royal: tiene bar y todo
