This file was generated by Console at 2020:09:01-00:00:00



[2020:09:01-00:00:57]  (Local) -> (LOCAL)[1][Z]Tartarus: es real
[2020:09:01-00:00:58]  (Global) -> Barreiro: Oe
[2020:09:01-00:00:59]  (Global) -> Capitanllanerito: que kevin no le entra la bala o que
[2020:09:01-00:00:59]  (Local) -> (LOCAL)[1]CarranchanSanguino: eso es muy dificil
[2020:09:01-00:01:00]  (Global) -> [Los-$ayas]Willyelamo: COLOMVBIAAAA
[2020:09:01-00:01:00]  (Local) -> (LOCAL)[2]Dilan: ok
[2020:09:01-00:01:00]  (Local) -> (LOCAL)[1][Z]Tartarus: practiquelo
[2020:09:01-00:01:01]  (Local) -> (LOCAL)[1]LilParaco666: lol voy a mirar si puedo jaja
[2020:09:01-00:01:02]  (Team - Criminals) -> (TEAM)(GT)MiguelV: venga
[2020:09:01-00:01:03]  (Global) -> Barreiro: Walter carechimba
[2020:09:01-00:01:03]  (Global) -> [Z]Danielz: PARACOS HP ME MATARON POR Q DEJE LOS PAPELES EN LA CASA
[2020:09:01-00:01:04]  (Local) -> (LOCAL)[1][Z]Tartarus: es dificil
[2020:09:01-00:01:05]  (Local) -> (LOCAL)[1]COSMID_KID: ok
[2020:09:01-00:01:06]  (Global) -> Tandy_ADF: bro
[2020:09:01-00:01:08]  (Local) -> (LOCAL)[2]herrebls: si pero ya no despues
[2020:09:01-00:01:09]  (Global) -> [Z]Danielz: PARACOS HP ME MATARON POR Q DEJE LOS PAPELES EN LA CASA
[2020:09:01-00:01:09]  (Local) -> (LOCAL)[1][Z]Tartarus: pero con practica lo hace pan
[2020:09:01-00:01:10]  (Global) -> PABLITO2100: ALGUN ADMINN? ESTOY EN BUG
[2020:09:01-00:01:10]  (Local) -> (LOCAL)[1](GT)MiguelV: ajaja
[2020:09:01-00:01:11]  (Global) -> [Z]DanielFly:|: a
[2020:09:01-00:01:12]  (Global) -> AlonsoAlzate: capu aragan matando con job en el aeropuerto de sf ahi que
[2020:09:01-00:01:12]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: afk
[2020:09:01-00:01:13]  (Global) -> AlonsoAlzate: capu aragan matando con job en el aeropuerto de sf ahi que
[2020:09:01-00:01:14]  (Local) -> (LOCAL)[2]Dilan: ok
[2020:09:01-00:01:14]  (Global) -> [CAPU]Aragan777: oe
[2020:09:01-00:01:15]  (Global) -> Tandy_ADF: bro
[2020:09:01-00:01:17]  (Local) -> (LOCAL)[0]COSMID_KID: donde lo dejo
[2020:09:01-00:01:17]  (Global) -> [Los-$ayas]Willyelamo: Colombia que pato nea
[2020:09:01-00:01:17]  (Local) -> (LOCAL)[2]herrebls: voy aser plata
[2020:09:01-00:01:19]  (Local) -> (LOCAL)[2]Sr_Fox: Pendiente hay Jolyne que voy a mirar el discord
[2020:09:01-00:01:19]  (Global) -> PABLITO2100: ESTOY AFK
[2020:09:01-00:01:21]  (Local) -> (LOCAL)[1][Z]Tartarus: con la mk creo que es dificilisimo
[2020:09:01-00:01:21]  (Global) -> Tandy_ADF: parce de aqui que hago?
[2020:09:01-00:01:22]  (Global) -> [Z]Danielz: AJAAJAJAJ EL CUAL PATIO
[2020:09:01-00:01:23]  (Global) -> PABLITO2100: AYUDAAAAAAA
[2020:09:01-00:01:26]  (Local) -> (LOCAL)[2]Jolyne: mca la quitaron .-.
[2020:09:01-00:01:26]  (Local) -> (LOCAL)[2][Los-$ayas]Willyelamo: oe
[2020:09:01-00:01:28]  (Global) -> [CAPU]Aragan777: Vaya a el avion
[2020:09:01-00:01:28]  (Local) -> (LOCAL)[12][CAPU]CapuGiyuVisajoso: asi parqueo yo
[2020:09:01-00:01:29]  (Local) -> (LOCAL)[1][Z]Tartarus: practique con la desert o el franco
[2020:09:01-00:01:30]  (Local) -> (LOCAL)[2][Los-$ayas]Willyelamo: va a los santos?
[2020:09:01-00:01:31]  (Local) -> (LOCAL)[2]bray: OE
[2020:09:01-00:01:33]  (Local) -> (LOCAL)[12]Megu: hey gonorrea ese me debe 200k
[2020:09:01-00:01:33]  (Team - Services) -> (TEAM)[CAPU]Aragan777: tque sale en el mini mapa
[2020:09:01-00:01:34]  (Global) -> [SAS][Cad]Tostoy: el de sucasa
[2020:09:01-00:01:35]  (Local) -> (LOCAL)[2]Sr_Fox: que?
[2020:09:01-00:01:36]  (Global) -> Jeison_Aspero: si?
[2020:09:01-00:01:37]  (Local) -> (LOCAL)[1]PABLITO2100: GRACIAS
[2020:09:01-00:01:38]  (Global) -> Tandy_ADF: ya me meti a ese circulo amarillo y no pasa nada
[2020:09:01-00:01:39]  (Global) -> COLOMB14HUM4N4: d ejeme sano gonorrea
[2020:09:01-00:01:42]  (Local) -> (LOCAL)[1][Z]Tartarus: cuando dispare le da c
[2020:09:01-00:01:43]  (Local) -> (LOCAL)[2]bray: usted es aspero
[2020:09:01-00:01:44]  (Global) -> [Z]Danielz: JJAJAJAJAAJ
[2020:09:01-00:01:44]  (Global) -> #7F7F7F|CVR|#FF0000Francine89: PABLITO2100[3] yo te veo bn q pasó
[2020:09:01-00:01:46]  (Local) -> (LOCAL)[2]Jolyne: usted ve normal el supra¡
[2020:09:01-00:01:47]  (Global) -> [CAPU]Aragan777: toca despacio
[2020:09:01-00:01:48]  (Local) -> (LOCAL)[13]Megu: Hola me das 200k
[2020:09:01-00:01:49]  (Local) -> (LOCAL)[2]Jolyne: ?
[2020:09:01-00:01:52]  (Global) -> Jeison_Aspero: si jaja
[2020:09:01-00:01:53]  (Global) -> COSMID_KID: FRANCINE BBE XD
[2020:09:01-00:01:54]  (Local) -> (LOCAL)[2]Jolyne: yo lo veo sin skin
[2020:09:01-00:01:54]  (Global) -> [Z]Danielz: LOCAS HP POR Q NO TENIA ARMAS
[2020:09:01-00:01:57]  (Local) -> (LOCAL)[1](GT)MiguelV: no los veo
[2020:09:01-00:01:58]  (Global) -> (RCA)Anakin: ajajajjajaj
[2020:09:01-00:02:01]  (Global) -> (RCA)Anakin: tjajaja
[2020:09:01-00:02:01]  (Global) -> Barreiro: Ahi viwnwn
[2020:09:01-00:02:02]  (Local) -> (LOCAL)[12]Megu: Hola me das 200k
[2020:09:01-00:02:04]  (Global) -> [CAPU]Aragan777: Subase por la parde de atras
[2020:09:01-00:02:04]  (Local) -> (LOCAL)[1][Z]Tartarus: Apunta, dispara y le da C cuando dispare
[2020:09:01-00:02:05]  (Local) -> (LOCAL)[2](GT)MiguelV: oli
[2020:09:01-00:02:05]  (Local) -> (LOCAL)[1]CarranchanSanguino: salen como dos seguidos si o que
[2020:09:01-00:02:06]  (Local) -> (LOCAL)[1][CAPU]Cornizo: yo me voy para groove siiiii
[2020:09:01-00:02:08]  (Local) -> (LOCAL)[1][Z]Tartarus: si
[2020:09:01-00:02:09]  (Local) -> (LOCAL)[1]Jolyne: bno
[2020:09:01-00:02:11]  (Global) -> Tandy_ADF: pa ya
[2020:09:01-00:02:13]  (Global) -> Tandy_ADF: gracias
[2020:09:01-00:02:14]  (Global) -> Sr_Fox: #00E2FF VA JUGANDO BOSHIAN HPTA
[2020:09:01-00:02:15]  (Global) -> [CAPU]Aragan777: breve
[2020:09:01-00:02:16]  (Local) -> (LOCAL)[3][Los-$ayas]Willyelamo: gracias
[2020:09:01-00:02:16]  (Local) -> (LOCAL)[2](GT)MiguelV: Hagamos otra cosa
[2020:09:01-00:02:17]  (Local) -> (LOCAL)[12]Megu: Hola me das 200k
[2020:09:01-00:02:19]  (Local) -> (LOCAL)[1][CAPU]Cornizo: hasta luegos
[2020:09:01-00:02:20]  (Global) -> Tandy_ADF: la buena
[2020:09:01-00:02:22]  (Global) -> [GT]bosnian: mande
[2020:09:01-00:02:22]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: oe giyu
[2020:09:01-00:02:23]  (Local) -> (LOCAL)[0]Jolyne: chap
[2020:09:01-00:02:25]  (Global) -> [Los-$ayas]Willyelamo: Colombia q patoooo
[2020:09:01-00:02:28]  (Local) -> (LOCAL)[1][Z]Tartarus: Con practica le hace pai
[2020:09:01-00:02:28]  (Global) -> [CAPU]Aragan777: Buena
[2020:09:01-00:02:28]  (Global) -> Barreiro: Atracar buseteros?
[2020:09:01-00:02:28]  (Global) -> (RCA)elTrakegunz: espere
[2020:09:01-00:02:28]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: me presta 4 palos
[2020:09:01-00:02:29]  (Local) -> (LOCAL)[12]Megu: Hola me das 200k
[2020:09:01-00:02:30]  (Local) -> (LOCAL)[1][Z]Tartarus: todo bien
[2020:09:01-00:02:31]  (Local) -> (LOCAL)[4][Z]Ownlyx: NOO
[2020:09:01-00:02:32]  (Local) -> (LOCAL)[2](GT)MiguelV: ajjaja
[2020:09:01-00:02:32]  (Local) -> (LOCAL)[1][Los-$ayas]Willyelamo: buena nea
[2020:09:01-00:02:33]  (Global) -> Coronel_Mario: oe
[2020:09:01-00:02:33]  (Global) -> RompeChochos: q hace liso aqui
[2020:09:01-00:02:35]  (Global) -> Jeison_Aspero: por donde le toco?
[2020:09:01-00:02:35]  (Global) -> Elqleaviejitas69:  reposate que la tranquilidad no tiene precio
[2020:09:01-00:02:42]  (Global) -> (RCA)elTrakegunz: lo sigo es que me toco la otra ruta xd
[2020:09:01-00:02:42]  (Global) -> (RCA)Anakin: matar trabajadores?
[2020:09:01-00:02:43]  (Local) -> (LOCAL)[4]zaresDJ: *entrga papeles
[2020:09:01-00:02:45]  (Local) -> (LOCAL)[14][GT]ElCejas3000: vea
[2020:09:01-00:02:47]  (Global) -> COLOMB14HUM4N4: socio me rompio el ala
[2020:09:01-00:02:48]  (Global) -> (RCA)Anakin: es un tombo
[2020:09:01-00:02:48]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: giyu
[2020:09:01-00:02:48]  (Local) -> (LOCAL)[4]zaresDJ: si
[2020:09:01-00:02:49]  (Local) -> (LOCAL)[2](GT)MiguelV: suavi venga
[2020:09:01-00:02:50]  (Local) -> (LOCAL)[12]Megu: Hola me das 200k
[2020:09:01-00:02:51]  (Local) -> (LOCAL)[12][CAPU]CapuGiyuVisajoso: señor
[2020:09:01-00:02:53]  (Local) -> (LOCAL)[8]TripleHpta: oe
[2020:09:01-00:02:54]  (Local) -> (LOCAL)[5][SAS][Cad]Tostoy: +revisa los papeles+
[2020:09:01-00:02:54]  (Global) -> Daniel_Soto: t
[2020:09:01-00:02:55]  (Global) -> [Los-$ayas]Willyelamo: yo?
[2020:09:01-00:02:56]  (Local) -> (LOCAL)[3][GT]ElCejas3000: veaa
[2020:09:01-00:02:56]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: presteme 4 palos
[2020:09:01-00:02:57]  (Local) -> (LOCAL)[3]herrebls: oe
[2020:09:01-00:02:59]  (Global) -> COLOMB14HUM4N4:  sisaas
[2020:09:01-00:02:59]  (Local) -> (LOCAL)[2][Z]Tartarus: todo bien
[2020:09:01-00:03:01]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: le devuelvo la otra semana
[2020:09:01-00:03:02]  (Global) -> [Los-$ayas]Willyelamo: Pero que pato
[2020:09:01-00:03:03]  (Local) -> (LOCAL)[1]TripleHpta: q mas
[2020:09:01-00:03:03]  (Local) -> (LOCAL)[1][GT]ElCejas3000: le doy 19k
[2020:09:01-00:03:03]  (Local) -> (LOCAL)[12][CAPU]CapuGiyuVisajoso: estoy en la quiebra
[2020:09:01-00:03:04]  (Local) -> (LOCAL)[2][Z]Tartarus: la bna
[2020:09:01-00:03:05]  (Local) -> (LOCAL)[2]Capitanllanerito: dime
[2020:09:01-00:03:07]  (Local) -> (LOCAL)[4]zaresDJ: muchas gracas
[2020:09:01-00:03:07]  (Local) -> (LOCAL)[2]Capitanllanerito: si
[2020:09:01-00:03:07]  (Local) -> (LOCAL)[0](GT)walter: m
[2020:09:01-00:03:07]  (Local) -> (LOCAL)[1]herrebls: bn y ud <3
[2020:09:01-00:03:08]  (Local) -> (LOCAL)[2][GT]ElCejas3000: si o que??
[2020:09:01-00:03:09]  (Global) -> (RCA)elTrakegunz: ahhh
[2020:09:01-00:03:09]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: AAAAAHG
[2020:09:01-00:03:10]  (Global) -> [Los-$ayas]Willyelamo: Me dejo tirado
[2020:09:01-00:03:10]  (Local) -> (LOCAL)[1](GT)MiguelV: ajjaja
[2020:09:01-00:03:11]  (Local) -> (LOCAL)[1]TripleHpta: te amo bb
[2020:09:01-00:03:11]  (Local) -> (LOCAL)[1]CarranchanSanguino: la buena
[2020:09:01-00:03:14]  (Local) -> (LOCAL)[2][GT]ElCejas3000: es que no tengo mas
[2020:09:01-00:03:14]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine89: megu presteem 4 poalos
[2020:09:01-00:03:16]  (Local) -> (LOCAL)[2][GT]Suavitel: oe
[2020:09:01-00:03:16]  (Global) -> [GT]bosnian: aaa
[2020:09:01-00:03:17]  (Local) -> (LOCAL)[2]Capitanllanerito: el aveo
[2020:09:01-00:03:17]  (Global) -> Daniel_Soto: y
[2020:09:01-00:03:18]  (Global) -> Jeison_Aspero: RENUNCIE Y VUELVA A TRABAJAR
[2020:09:01-00:03:18]  (Global) -> (GT)walter: moldy donde estas?
[2020:09:01-00:03:18]  (Local) -> (LOCAL)[12]Megu: bno
[2020:09:01-00:03:19]  (Team - Law Enforcement) -> (TEAM)tombo: /sound
[2020:09:01-00:03:20]  (Local) -> (LOCAL)[8]Daniel_Soto: io
[2020:09:01-00:03:20]  (Local) -> (LOCAL)[4][GT]ElCejas3000: socioo
[2020:09:01-00:03:20]  (Global) -> [Los-$ayas]Willyelamo: Pensé que era pana :((((((
[2020:09:01-00:03:20]  (Local) -> (LOCAL)[2]Capitanllanerito: ?
[2020:09:01-00:03:21]  (Global) -> [CAPU]Aragan777: Adminnnnnnn
[2020:09:01-00:03:21]  (Local) -> (LOCAL)[1]herrebls: yo ma svb
[2020:09:01-00:03:22]  (Local) -> (LOCAL)[4][GT]ElCejas3000: colabore
[2020:09:01-00:03:24]  (Global) -> COLOMB14HUM4N4:  mk se dmeoro en subir
[2020:09:01-00:03:24]  (Global) -> [CAPU]Aragan777: Ayudaaaaaaaaaaaaaaaa
[2020:09:01-00:03:25]  (Local) -> (LOCAL)[1]TripleHpta: xdddddddddddddd
[2020:09:01-00:03:25]  (Local) -> (LOCAL)[4][GT]ElCejas3000: pirobo
[2020:09:01-00:03:25]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine89: al banco vamos
[2020:09:01-00:03:26]  (Local) -> (LOCAL)[1]herrebls: pa donde bmaos
[2020:09:01-00:03:28]  (Local) -> (LOCAL)[3]Capitanllanerito: o el sandero
[2020:09:01-00:03:29]  (Global) -> Jeison_Aspero: EY
[2020:09:01-00:03:29]  (Global) -> [CAPU]Aragan777: Me bugieeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[2020:09:01-00:03:29]  (Local) -> (LOCAL)[2](GT)MiguelV: vvamos a matar a walter
[2020:09:01-00:03:30]  (Local) -> (LOCAL)[1]TripleHpta: a parchar
[2020:09:01-00:03:30]  (Local) -> (LOCAL)[2][GT]Suavitel: oe
[2020:09:01-00:03:31]  (Global) -> [CAPU]Aragan777: Me bugieeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[2020:09:01-00:03:33]  (Global) -> [CAPU]Aragan777: Me bugieeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[2020:09:01-00:03:33]  (Local) -> (LOCAL)[1][Los-$ayas]Willyelamo: q paso aragan jajaja
[2020:09:01-00:03:34]  (Local) -> (LOCAL)[1]Capitanllanerito: vamos y los vemos
[2020:09:01-00:03:35]  (Local) -> (LOCAL)[1]herrebls: listo
[2020:09:01-00:03:36]  (Local) -> (LOCAL)[2](GT)MiguelV: ajaja
[2020:09:01-00:03:37]  (Local) -> (LOCAL)[2][GT]Suavitel: acompañeme a echar gasofa
[2020:09:01-00:03:38]  (Global) -> [Z]Danielz: tombo hp
[2020:09:01-00:03:39]  (Global) -> Barreiro: Donde esta ese perro?
[2020:09:01-00:03:40]  (Local) -> (LOCAL)[1]COSMID_KID: NEA
[2020:09:01-00:03:42]  (Global) -> (RCA)elTrakegunz: ah ahorita le llego
[2020:09:01-00:03:42]  (Local) -> (LOCAL)[1]TripleHpta: xd
[2020:09:01-00:03:42]  (Global) -> [CAPU]Aragan777: nea estoy re bug
[2020:09:01-00:03:42]  (Local) -> (LOCAL)[1]herrebls: a
[2020:09:01-00:03:43]  (Local) -> (LOCAL)[1]COSMID_KID: YA LO MATE
[2020:09:01-00:03:45]  (Global) -> (RTS)Jhonatan: gracias
[2020:09:01-00:03:48]  (Local) -> (LOCAL)[1](GT)MiguelV: pere lo ubico
[2020:09:01-00:03:55]  (Local) -> (LOCAL)[1]angelvalbuena: PERRA
[2020:09:01-00:03:55]  (Global) -> ErectHamster54: Holi
[2020:09:01-00:03:59]  (Global) -> Jeison_Aspero: por donde van?
[2020:09:01-00:04:03]  (Local) -> (LOCAL)[1][Los-$ayas]Willyelamo: ya?
[2020:09:01-00:04:04]  (Global) -> Daniel_Soto: una pregunta?
[2020:09:01-00:04:07]  (Local) -> (LOCAL)[1]herrebls: con mi novia....
[2020:09:01-00:04:07]  (Local) -> (LOCAL)[0][CAPU]CapuGiyuVisajoso: c murioooooooo
[2020:09:01-00:04:09]  (Local) -> (LOCAL)[1]TripleHpta: foto pa nuestra historia <3
[2020:09:01-00:04:09]  (Global) -> [CAPU]Aragan777: buena
[2020:09:01-00:04:11]  (Global) -> #7F7F7F|CVR|#FF0000Francine89: argumentos?
[2020:09:01-00:04:11]  (Local) -> (LOCAL)[1](GT)MiguelV: en chillioad
[2020:09:01-00:04:15]  (Global) -> (RTS)elCat420: KHE YO NO MATE A NADIE, IBA MANEJANDO Y ME TIRARON UNA BOMBA ._.
[2020:09:01-00:04:17]  (Local) -> (LOCAL)[1]herrebls: ya
[2020:09:01-00:04:20]  (Team - Criminals) -> (TEAM)LilParaco666: yaa
[2020:09:01-00:04:23]  (Local) -> (LOCAL)[1]COSMID_KID: XD
[2020:09:01-00:04:27]  (Local) -> (LOCAL)[1]COSMID_KID: NEA VINO UN TOMBO
[2020:09:01-00:04:27]  (Local) -> (LOCAL)[1]TripleHpta: xdd
[2020:09:01-00:04:29]  (Global) -> [CAPU]Aragan777: ya puso x?
[2020:09:01-00:04:31]  (Local) -> (LOCAL)[1]COSMID_KID: CASI ME COJE
[2020:09:01-00:04:31]  (Local) -> (LOCAL)[1]herrebls: xd
[2020:09:01-00:04:33]  (Local) -> (LOCAL)[1][Los-$ayas]Willyelamo: sisas
[2020:09:01-00:04:36]  (Local) -> (LOCAL)[1]COSMID_KID: TOCO MATARLO
[2020:09:01-00:04:37]  (Local) -> (LOCAL)[2](GT)MiguelV: vmo
[2020:09:01-00:04:40]  (Local) -> (LOCAL)[1]TripleHpta: a matar tomba
[2020:09:01-00:04:42]  (Global) -> Jolyne: ARGUMENTOS + PRUEBAS
[2020:09:01-00:04:44]  (Local) -> (LOCAL)[1]herrebls: un beso
[2020:09:01-00:04:45]  (Local) -> (LOCAL)[2][ZETAS]ELARAGAN41: ajajaj
[2020:09:01-00:04:46]  (Local) -> (LOCAL)[1]COSMID_KID: PUTA LLANTA
[2020:09:01-00:04:47]  (Global) -> #7F7F7F|CVR|#FF0000Francine89: si
[2020:09:01-00:04:48]  (Local) -> (LOCAL)[1]TripleHpta: muak
[2020:09:01-00:04:48]  (Local) -> (LOCAL)[1]Capitanllanerito: miralo aca
[2020:09:01-00:04:52]  (Global) -> #7F7F7F|CVR|#FF0000Francine89: megu donde tas miamor
[2020:09:01-00:04:54]  (Global) -> ErectHamster54: Como me puedo cambiar el hpta nombreeeee
[2020:09:01-00:04:54]  (Local) -> (LOCAL)[1]Capitanllanerito: a ver si lo ves
[2020:09:01-00:04:57]  (Local) -> (LOCAL)[2](GT)MiguelV: sigame
[2020:09:01-00:04:58]  (Local) -> (LOCAL)[1]COSMID_KID: AJA
[2020:09:01-00:04:58]  (Local) -> (LOCAL)[4][SAS][Cad]Tostoy: cuanto?
[2020:09:01-00:04:59]  (Local) -> (LOCAL)[2]Megu: q
[2020:09:01-00:04:59]  (Local) -> (LOCAL)[3][Z]Ownlyx: JNO ESTAN LOS NOVIOS
[2020:09:01-00:04:59]  (Local) -> (LOCAL)[2][ZETAS]ELARAGAN41: me puedo montar una vezz'
[2020:09:01-00:04:59]  (Global) -> [CAPU]CapuGiyuVisajoso: en el banco
[2020:09:01-00:05:04]  (Local) -> (LOCAL)[4][SAS][Cad]Tostoy: cuanto le debo papa?
[2020:09:01-00:05:05]  (Local) -> (LOCAL)[1][CAPU]CapuGiyuVisajoso: no
[2020:09:01-00:05:09]  (Global) -> El_Chico_Gel_pte: suerte
[2020:09:01-00:05:09]  (Global) -> Jeison_Aspero: deje asi
[2020:09:01-00:05:09]  (Local) -> (LOCAL)[1]Capitanllanerito: si no lo ves es que lo quitaron
[2020:09:01-00:05:11]  (Global) -> juancarl78: Hey soy medico y un man me esta disparando
[2020:09:01-00:05:12]  (Global) -> (RTS)elCat420: INCLUSO JHONATAN IBA PASANDO Y SE DIO CUENTA 
