This file was generated by Console at 2020:12:15-00:00:01



[2020:12:15-00:01:46]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: locahp
[2020:12:15-00:01:47]  (Local) -> (LOCAL)[9]2cb'Razzork: soy vendedor de frutas
[2020:12:15-00:01:48]  (Local) -> (LOCAL)[5]|EVG|Soltec: ui zonas 30 fps
[2020:12:15-00:01:51]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00Jimenez: Se cambio el nick
[2020:12:15-00:01:52]  (Global) -> jaime: OE
[2020:12:15-00:01:53]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: nea
[2020:12:15-00:01:54]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: A
[2020:12:15-00:01:54]  (Local) -> (LOCAL)[1]Ragnarok: esa gang esta muerta
[2020:12:15-00:01:54]  (Local) -> (LOCAL)[1]AK|Fear: nada xd
[2020:12:15-00:01:56]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: me hace un favor?
[2020:12:15-00:01:56]  (Local) -> (LOCAL)[1]AK|Fear: que
[2020:12:15-00:01:59]  (Global) -> Felip_Cor017: dimelo
[2020:12:15-00:01:59]  (Team - Services) -> (TEAM)MZ-KEDROSE: QUE FUE CON EL TAXIXTA
[2020:12:15-00:02:02]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: me podes pegar?
[2020:12:15-00:02:03]  (Local) -> (LOCAL)[6]LocaHp: fue mz kedrose pa
[2020:12:15-00:02:03]  (Global) -> jaime:  coma eso
[2020:12:15-00:02:07]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: que tengo unas cosas en la cara
[2020:12:15-00:02:09]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: velo
[2020:12:15-00:02:10]  (Local) -> (LOCAL)[6]LocaHp: chimbeando con franco
[2020:12:15-00:02:11]  (Local) -> (LOCAL)[8]2cb'Razzork: pero no me apunten
[2020:12:15-00:02:11]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: vip diamante a 8k
[2020:12:15-00:02:12]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: yxd
[2020:12:15-00:02:12]  (Local) -> (LOCAL)[1]AK|Fear: ?
[2020:12:15-00:02:14]  (Global) -> jaime: como va eso 
[2020:12:15-00:02:14]  (Local) -> (LOCAL)[2]NestorGaviria: una requiza por favor
[2020:12:15-00:02:15]  (Global) -> MZ-KEDROSE: QUE PASO CON YO EL TAXISTA
[2020:12:15-00:02:16]  (Local) -> (LOCAL)[1]AK|Fear: aa
[2020:12:15-00:02:17]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: hHP
[2020:12:15-00:02:17]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: otra vez?
[2020:12:15-00:02:17]  (Local) -> (LOCAL)[6]|EVG|Soltec: veo esperenme reconecto
[2020:12:15-00:02:18]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLlanerito: crudo
