This file was generated by Console at 2020:11:16-00:00:00



[2020:11:16-00:02:20]  (Local) -> (LOCAL)[2][Z]Petrosky: no duelo paila ajsajjsa ando malo :c
[2020:11:16-00:02:21]  (Local) -> (LOCAL)[1]LDS-JuanPablo: cambiemos de look
[2020:11:16-00:02:21]  (Global) -> [EVG].DJ-NICO-PRESTIGE: gomelo
[2020:11:16-00:02:22]  (Local) -> (LOCAL)[2]2cb'pablitopai: ando frio
[2020:11:16-00:02:22]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: a
[2020:11:16-00:02:24]  (Local) -> (LOCAL)[1][Z]Maicke: a
[2020:11:16-00:02:26]  (Global) -> [Z]Tampico7u7: permiso porfa
[2020:11:16-00:02:26]  (Local) -> (LOCAL)[1]PATRON: hoy no muero vamonos lejos
[2020:11:16-00:02:30]  (Local) -> (LOCAL)[3]2cb'pablitopai: yo apenas me conecto
[2020:11:16-00:02:32]  (Global) -> |COSTELAND|Briham|2cB|: ese carro es mio mlp
[2020:11:16-00:02:34]  (Local) -> (LOCAL)[4][Z]Petrosky: asjajsja
[2020:11:16-00:02:35]  (Local) -> (LOCAL)[5]2cb'pablitopai: no me habia conectado desde ayer
[2020:11:16-00:02:35]  (Local) -> (LOCAL)[1]PATRON: no vamonos
[2020:11:16-00:02:37]  (Local) -> (LOCAL)[6]2cb'pablitopai: XD
[2020:11:16-00:02:37]  (Local) -> (LOCAL)[8][EVG].DJ-NICO-PRESTIGE: gomelo
[2020:11:16-00:02:41]  (Local) -> (LOCAL)[3][Zetas]'Londo: q
[2020:11:16-00:02:45]  (Local) -> (LOCAL)[1]LDS-JuanPablo: primero la ropa
[2020:11:16-00:02:47]  (Local) -> (LOCAL)[7][EVG].DJ-NICO-PRESTIGE: oe
[2020:11:16-00:02:53]  (Local) -> (LOCAL)[10]2cb'gomelo': ole
[2020:11:16-00:02:58]  (Local) -> (LOCAL)[8][EVG].DJ-NICO-PRESTIGE: me deja monatr ??
[2020:11:16-00:03:01]  (Local) -> (LOCAL)[1]PATRON: yo no
