This file was generated by Console at 2021:01:08-00:00:01



[2021:01:08-00:01:05]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Orgalor: saque la moneyt
[2021:01:08-00:01:06]  (Team - Services) -> (TEAM)Anderson: /joneievento
[2021:01:08-00:01:06]  (Local) -> (LOCAL)[3][Z]ZEUS: bre
[2021:01:08-00:01:07]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Orgalor: el banco
[2021:01:08-00:01:09]  (Local) -> (LOCAL)[6]*2cb*ELCOSTE(toloteli): vamos a matar a esos tal saayayines
[2021:01:08-00:01:09]  (Local) -> (LOCAL)[8]Sayayin'Lufero: ya te la envie
[2021:01:08-00:01:11]  (Local) -> (LOCAL)[2]"sayayin"JulianLt10: lauu
[2021:01:08-00:01:12]  (Local) -> (LOCAL)[3]Petrobb: contra quien?
[2021:01:08-00:01:13]  (Global) -> Mr.Nea: bala esta ??
[2021:01:08-00:01:13]  (Local) -> (LOCAL)[3]2cBuitre: pero no se meta a esa gang
[2021:01:08-00:01:14]  (Local) -> (LOCAL)[8]Yesid: bueno
[2021:01:08-00:01:15]  (Local) -> (LOCAL)[6]'2cb'AraganG: sisaaaaaaa
[2021:01:08-00:01:16]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000BERNARATO: pAq
[2021:01:08-00:01:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor: noka
[2021:01:08-00:01:18]  (Local) -> (LOCAL)[3]2cBuitre: contra los demas
[2021:01:08-00:01:18]  (Local) -> (LOCAL)[2][Z]ZEUS: hagale
[2021:01:08-00:01:18]  (Local) -> (LOCAL)[2]"sayayin"JulianLt10: la oo jajaja
[2021:01:08-00:01:18]  (Local) -> (LOCAL)[8]Sayayin"Chaman: vea aqui le van a a explicar todo
[2021:01:08-00:01:20]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor: no creo
[2021:01:08-00:01:20]  (Team - Law Enforcement) -> (TEAM)fumarrato2020: pirobos lo mataron
[2021:01:08-00:01:21]  (Local) -> (LOCAL)[6]2cb'Fabius: es mas largo que gta v?
[2021:01:08-00:01:22]  (Local) -> (LOCAL)[3]Petrobb: cual es la amas pro?
[2021:01:08-00:01:22]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor: dele g
[2021:01:08-00:01:27]  (Local) -> (LOCAL)[3]2cBuitre: somos bandas en especifico
[2021:01:08-00:01:29]  (Local) -> (LOCAL)[8]Sayayin"Chaman: lufero o chamber
[2021:01:08-00:01:31]  (Team - Law Enforcement) -> (TEAM)fumarrato2020: vamos arrestar esas loka
[2021:01:08-00:01:31]  (Global) -> (CAPU).MR.MCLOVIN.3.0: hey curiosin haceme el fa de dejarme en hospital central
[2021:01:08-00:01:31]  (Local) -> (LOCAL)[3]2cBuitre: la nuestra
[2021:01:08-00:01:33]  (Global) -> (CAPU).MR.MCLOVIN.3.0: hey curiosin haceme el fa de dejarme en hospital central
[2021:01:08-00:01:34]  (Local) -> (LOCAL)[8]Sayayin'Lufero: ya le mande
[2021:01:08-00:01:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor: uuy q
[2021:01:08-00:01:36]  (Local) -> (LOCAL)[6]*2cb*ELCOSTE(toloteli): esos sayayines que son mas malos
[2021:01:08-00:01:37]  (Local) -> (LOCAL)[8]Sayayin'Lufero: soli
[2021:01:08-00:01:37]  (Global) -> manchita: como es la vuelta
[2021:01:08-00:01:38]  (Local) -> (LOCAL)[6]*2cb*ELCOSTE(toloteli): y ratas
[2021:01:08-00:01:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor: ale
[2021:01:08-00:01:39]  (Local) -> (LOCAL)[4]Petrobb: que hacen en la suya?
[2021:01:08-00:01:39]  (Local) -> (LOCAL)[8]Yesid: ya la acepte
[2021:01:08-00:01:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor: vamos
[2021:01:08-00:01:40]  (Local) -> (LOCAL)[1]2cb'Anselmo: no puede matar trabajadores
[2021:01:08-00:01:41]  (Local) -> (LOCAL)[8]Sayayin'Lufero: ya te digo
[2021:01:08-00:01:41]  (Global) -> (RCA)HimeXD: oe estoy bug
[2021:01:08-00:01:41]  (Local) -> (LOCAL)[4]2cBuitre: hable que yo lo oigo
[2021:01:08-00:01:41]  (Local) -> (LOCAL)[1][Z]ZEUS: bre
[2021:01:08-00:01:42]  (Local) -> (LOCAL)[6]2cb'Fabius: e mas largo que he jugado de gta es el iii
[2021:01:08-00:01:42]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000BERNARATO: jummm, no
[2021:01:08-00:01:43]  (Global) -> (RCA)HimeXD: pls help
[2021:01:08-00:01:46]  (Local) -> (LOCAL)[1]2cb'Anselmo: ni matar con trabajo
[2021:01:08-00:01:48]  (Local) -> (LOCAL)[8]Sayayin'Lufero: bro ahora
[2021:01:08-00:01:50]  (Local) -> (LOCAL)[1]2cb'Anselmo: o lo banean
[2021:01:08-00:01:51]  (Local) -> (LOCAL)[6]2cb'Fabius: puta mierda pa larga
[2021:01:08-00:01:52]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000BERNARATO: el gta v creo que es mas corto
[2021:01:08-00:01:52]  (Local) -> (LOCAL)[4]2cBuitre: darnos guerra contra esos bastardos
[2021:01:08-00:01:53]  (Global) -> 2cb'Weed: ah si porque quita vida xd
[2021:01:08-00:01:53]  (Local) -> (LOCAL)[8]Sayayin'Lufero: al grupo pera
[2021:01:08-00:01:57]  (Local) -> (LOCAL)[8]Yesid: hagale
[2021:01:08-00:02:00]  (Local) -> (LOCAL)[4]"sayayin"JulianLt10: la buenaa
[2021:01:08-00:02:02]  (Global) -> 2cb'Weed: ayer sin querer mate un rappi jajaja
[2021:01:08-00:02:03]  (Local) -> (LOCAL)[4]2cBuitre: buena
[2021:01:08-00:02:05]  (Local) -> (LOCAL)[4]2cBuitre: sisas
