This file was generated by Console at 2021:01:13-00:00:00



[2021:01:13-00:01:10]  (Local) -> (LOCAL)[1]UniqueDavenport50: AJAJAJA
[2021:01:13-00:01:11]  (Global) -> Sancocho.Kum: ey dios mio es legal lo que colocaron en el hospital general??
[2021:01:13-00:01:12]  (Local) -> (LOCAL)[1]|EVG|<>ElParaco: l
[2021:01:13-00:01:13]  (Local) -> (LOCAL)[2]Flakito: no se pude mover?
[2021:01:13-00:01:13]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: es en minuscula
[2021:01:13-00:01:15]  (Global) -> Xavier16: porque no me salen las armas
[2021:01:13-00:01:18]  (Local) -> (LOCAL)[6]el_chili12: tombo caga
[2021:01:13-00:01:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00_SEMDS_: se me acabo con el panel abierto nea
[2021:01:13-00:01:19]  (Global) -> UniqueDavenport50: mods
[2021:01:13-00:01:19]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Patron
[2021:01:13-00:01:21]  (Local) -> (LOCAL)[4]G4: igual los tombos lo pegan
[2021:01:13-00:01:22]  (Global) -> 2cbSebastian_andres: pasamela
[2021:01:13-00:01:22]  (Local) -> (LOCAL)[2]Flakito: xd
[2021:01:13-00:01:24]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00_SEMDS_: ahora no me puedo vestir
[2021:01:13-00:01:25]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Bajate del vehiculo
[2021:01:13-00:01:25]  (Global) -> PATRON: imenez pere 2 min
[2021:01:13-00:01:26]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00_SEMDS_: XDDD
[2021:01:13-00:01:27]  (Local) -> (LOCAL)[3]francovilla,pato: /gc solo con 2 dias
[2021:01:13-00:01:29]  (Local) -> (LOCAL)[3]sayayin"popeye: 200?
[2021:01:13-00:01:29]  (Local) -> (LOCAL)[1]|EVG|<>ElParaco: gracias <3
[2021:01:13-00:01:29]  (Local) -> (LOCAL)[1](CAPU).MR.MCLOVIN.3.0: ya
[2021:01:13-00:01:32]  (Local) -> (LOCAL)[1](CAPU).MR.MCLOVIN.3.0: ale ajjaja
[2021:01:13-00:01:33]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: en la T tiene que poner /mods
[2021:01:13-00:01:36]  (Local) -> (LOCAL)[1]|EVG|<>ElParaco: la buenisia
[2021:01:13-00:01:37]  (Local) -> (LOCAL)[3]Flakito: ey amigo
[2021:01:13-00:01:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: en F8, es la consola, ahi es sin /
[2021:01:13-00:01:40]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Llanerito: ey
[2021:01:13-00:01:41]  (Local) -> (LOCAL)[1]CHUMY: oe
[2021:01:13-00:01:41]  (Local) -> (LOCAL)[0]2cB'IBIZA: ey
[2021:01:13-00:01:41]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000CAPU|~Curiosin~|: señor
[2021:01:13-00:01:44]  (Global) -> Sancocho.Kum: ey un acmin se puede hacer warp a mi? XD
[2021:01:13-00:01:44]  (Local) -> (LOCAL)[3]Flakito: quitate la ropa antes de entrar
[2021:01:13-00:01:45]  (Local) -> (LOCAL)[5]2cb|Jolyne: prestame tu infernus asjjas
[2021:01:13-00:01:46]  (Global) -> 2cbSebastian_andres: yo la quiero ver primero de esto lado
[2021:01:13-00:01:46]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00_SEMDS_: yayayaya
[2021:01:13-00:01:49]  (Global) -> 2cB'IBIZA: zhucov
[2021:01:13-00:01:50]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000CAPU|~Curiosin~|: no tengo vip
[2021:01:13-00:01:52]  (Local) -> (LOCAL)[1]UniqueDavenport50: ya salió
[2021:01:13-00:01:54]  (Local) -> (LOCAL)[1]|EVG|<>ElParaco: ya salio le man
[2021:01:13-00:01:55]  (Local) -> (LOCAL)[1]UniqueDavenport50: era en minuscula
[2021:01:13-00:01:57]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000CAPU|~Curiosin~|: pero mojo los pies
[2021:01:13-00:01:57]  (Local) -> (LOCAL)[3]Flakito: y esas escopetas
[2021:01:13-00:01:58]  (Local) -> (LOCAL)[1]UniqueDavenport50: jjajajjaja
[2021:01:13-00:02:00]  (Local) -> (LOCAL)[3]Flakito: ay ombe
[2021:01:13-00:02:01]  (Local) -> (LOCAL)[1]HeavyOars16: como uno pone el radio?
[2021:01:13-00:02:02]  (Local) -> (LOCAL)[3]Flakito: un pablo escobar
[2021:01:13-00:02:03]  (Local) -> (LOCAL)[2](CAPU).MR.MCLOVIN.3.0: vamos os
[2021:01:13-00:02:05]  (Local) -> (LOCAL)[3][EVG]Sxbas: oe
[2021:01:13-00:02:07]  (Local) -> (LOCAL)[3](CAPU).MR.MCLOVIN.3.0: ps°*
[2021:01:13-00:02:07]  (Local) -> (LOCAL)[1]Veneca: xD
[2021:01:13-00:02:07]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000CAPU|~Curiosin~|: se me acabo de acabar
[2021:01:13-00:02:08]  (Local) -> (LOCAL)[3]el_chili12: monda
[2021:01:13-00:02:09]  (Local) -> (LOCAL)[1]2cb|Jolyne: a
[2021:01:13-00:02:11]  (Local) -> (LOCAL)[1]|Z|Skippers: q
[2021:01:13-00:02:12]  (Local) -> (LOCAL)[3]Flakito: tambien skajsaksjaksj
[2021:01:13-00:02:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: A
[2021:01:13-00:02:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Coloca
[2021:01:13-00:02:16]  (Local) -> (LOCAL)[3]Flakito: a todos los capus?
[2021:01:13-00:02:18]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Unde F3
[2021:01:13-00:02:20]  (Local) -> (LOCAL)[3]2cB|JulianGg:D: me encanas
[2021:01:13-00:02:23]  (Local) -> (LOCAL)[1][EVG]Sxbas: soy caga me toco cambiar de identidad gas ser 2cb
[2021:01:13-00:02:25]  (Global) -> sayayin"popeye: nah}
[2021:01:13-00:02:25]  (Local) -> (LOCAL)[1][EVG]Sxbas: jsjsjs
[2021:01:13-00:02:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Luego vas done dice radio
[2021:01:13-00:02:28]  (Local) -> (LOCAL)[3]|CAPU|Arnulfo_Punketo: MANO N OSE MOJE L AROPA
[2021:01:13-00:02:28]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: si
[2021:01:13-00:02:33]  (Global) -> Sancocho.Kum: admin xd
[2021:01:13-00:02:34]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: todos los comandos en minuscula
[2021:01:13-00:02:35]  (Local) -> (LOCAL)[1]|Z|Skippers: ok
[2021:01:13-00:02:37]  (Local) -> (LOCAL)[3]surimc30: oe
[2021:01:13-00:02:39]  (Local) -> (LOCAL)[3]Flakito: perchitps
[2021:01:13-00:02:40]  (Global) -> JefersO: mande
[2021:01:13-00:02:40]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Selecciona RADIO CVR 2020 Y LE DAS PLA
[2021:01:13-00:02:42]  (Local) -> (LOCAL)[0]2cB'IBIZA: dime
[2021:01:13-00:02:42]  (Global) -> #7F7F7F|ADM|#FF5C00_SEMDS_: dime Sancocho.Kum
[2021:01:13-00:02:43]  (Local) -> (LOCAL)[2]|EVG|<>ElParaco: por tombos
[2021:01:13-00:02:43]  (Global) -> UniqueDavenport50: mods
[2021:01:13-00:02:44]  (Local) -> (LOCAL)[3]2cB|JulianGg:D: xD
[2021:01:13-00:02:44]  (Local) -> (LOCAL)[3]surimc30: captureme
[2021:01:13-00:02:45]  (Global) -> 2cB'IBIZA: dime
[2021:01:13-00:02:47]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Patron ya?
[2021:01:13-00:02:47]  (Global) -> JefersO: ok
[2021:01:13-00:02:48]  (Local) -> (LOCAL)[3]surimc30: espere guardo una plata
[2021:01:13-00:02:50]  (Local) -> (LOCAL)[1]UniqueDavenport50: ok vale
[2021:01:13-00:02:52]  (Global) -> PATRON: 1min
[2021:01:13-00:02:52]  (Local) -> (LOCAL)[4]|EVG|Soltec: ush
[2021:01:13-00:02:56]  (Local) -> (LOCAL)[1]UniqueDavenport50: voy a provar
[2021:01:13-00:02:57]  (Local) -> (LOCAL)[2]Mateo: le llego pana
[2021:01:13-00:02:58]  (Local) -> (LOCAL)[5]|EVG|Soltec: XD
[2021:01:13-00:02:59]  (Global) -> JMsantos: a darles iso hpta
[2021:01:13-00:02:59]  (Global) -> Sancocho.Kum: _SEMDS_[MP] nea es legal los graffitis que colocaron en hospital? xd
[2021:01:13-00:03:00]  (Local) -> (LOCAL)[2]Guarachero___: :0
[2021:01:13-00:03:02]  (Local) -> (LOCAL)[2]Guarachero___: si
[2021:01:13-00:03:03]  (Global) -> HeavyOars16: gracias
[2021:01:13-00:03:05]  (Global) -> #7F7F7F|ADM|#FF5C00_SEMDS_: ya miro
[2021:01:13-00:03:07]  (Local) -> (LOCAL)[2]Mateo: hagale pa
[2021:01:13-00:03:08]  (Local) -> (LOCAL)[3]|EVG|<>ElParaco: paila
