This file was generated by Console at 2020:11:14-00:00:00



[2020:11:14-00:01:34]  (Local) -> (LOCAL)[16]2cb'Jabon: JODER
[2020:11:14-00:01:36]  (Local) -> (LOCAL)[0]2cb'BEBESITA: xd
[2020:11:14-00:01:42]  (Local) -> (LOCAL)[16]|COSTELAND|Briham|2cB|: regalamelo
[2020:11:14-00:01:43]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Dime, ¿Qué sucede?
[2020:11:14-00:01:43]  (Local) -> (LOCAL)[16]2cb'Jabon: berna
[2020:11:14-00:01:44]  (Global) -> 2cb'dilam: ola
[2020:11:14-00:01:45]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Dime, ¿Qué sucede?
[2020:11:14-00:01:46]  (Local) -> (LOCAL)[2]#7F7F7F|CVR||DJ|#FFFF00Catalina420: cooomo
[2020:11:14-00:01:47]  (Phone:SMS) -> From Diaz | To: XhnGuaracha | Message: Oye
[2020:11:14-00:01:47]  (Global) -> #7F7F7F|CVR|#0064FFXhnGuaracha: Q tema tan sad
[2020:11:14-00:01:47]  (Local) -> (LOCAL)[16]2cb'Jabon: me pones la skin
[2020:11:14-00:01:50]  (Local) -> (LOCAL)[16]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: vendo limos
[2020:11:14-00:01:50]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF00002cBerna: cual
[2020:11:14-00:01:50]  (Local) -> (LOCAL)[2]PATRON: cuanto
[2020:11:14-00:01:50]  (Local) -> (LOCAL)[16]2cb'Jabon: 209
[2020:11:14-00:01:51]  (Global) -> |Z|~$Fabio_vidal69$:)~: ey quede solo aca?
[2020:11:14-00:01:52]  (Global) -> {S.A.S}CABO}PAULO: DE LA GANG
[2020:11:14-00:01:54]  (Global) -> #7F7F7F|CVR||DJ|#FFFF00Catalina420: na
[2020:11:14-00:01:54]  (Local) -> (LOCAL)[16]2cb'Jabon: a
[2020:11:14-00:01:56]  (Local) -> (LOCAL)[16]2cb'Jabon: nada
[2020:11:14-00:01:57]  (Global) -> #7F7F7F|CVR||DJ|#FFFF00Catalina420: apagando la radio
[2020:11:14-00:01:58]  (Global) -> 2cb'dilam: Dime ¿Que Sucede?
[2020:11:14-00:02:00]  (Local) -> (LOCAL)[16]2cb'Jabon: JODER
[2020:11:14-00:02:00]  (Global) -> |DJ|Pastelo:(: ASJasj
[2020:11:14-00:02:05]  (Phone:SMS) -> From Diaz | To: 2cb'tussy | Message: Nea
[2020:11:14-00:02:07]  (Local) -> (LOCAL)[1][FEC][G]Daniels: PA PERO YO A USTED LO VI EN OTRA GANG
[2020:11:14-00:02:09]  (Global) -> |DJ|Pastelo:(: ojo que yo me paro re duro por manuel medrano
[2020:11:14-00:02:09]  (Local) -> (LOCAL)[17]2cb'Jabon: no puedo poner ropita
[2020:11:14-00:02:10]  (Global) -> #7F7F7F|CVR||DJ|#FFFF00Catalina420: poniendo mis propios temas
[2020:11:14-00:02:12]  (Local) -> (LOCAL)[17]2cb'Jabon: q asco
[2020:11:14-00:02:17]  (Local) -> (LOCAL)[1][FEC][G]Daniels: QUE NO ERAN LOS SAS
[2020:11:14-00:02:19]  (Local) -> (LOCAL)[1]|DJ|Pastelo:(: naaa
[2020:11:14-00:02:24]  (Global) -> {S.A.S}CABO}PAULO: no es la mia
[2020:11:14-00:02:26]  (Phone:SMS) -> From Diaz | To: 2cb'tussy | Message: Necesito un favor suyo .l.
[2020:11:14-00:02:26]  (Global) -> #005F55|#00D3BDLG#005F55|#FF5C00[EVG]RicardoJorge: Solo temas de diciembre en el discord pastelo, no copeo
[2020:11:14-00:02:33]  (Global) -> {S.A.S}CABO}PAULO: yo me salgo
[2020:11:14-00:02:38]  (Phone:SMS) -> From 2cb'tussy | To: Diaz | Message: q
[2020:11:14-00:02:41]  (Global) -> #7F7F7F|CVR||DJ|#FFFF00Catalina420: mero tristongo
[2020:11:14-00:02:42]  (Global) -> Tartarus: MontesSicario[6]
