This file was generated by Console at 2020:10:18-00:00:10



[2020:10:18-00:03:29]  (Local) -> (LOCAL)[1]2cb[MAURO]: perro malparido
[2020:10:18-00:03:34]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: agg a discord
[2020:10:18-00:03:34]  (Local) -> (LOCAL)[1][GT]Santiago: no
[2020:10:18-00:03:35]  (Global) -> [GT]~CARDING~SICARIO: llanerito
[2020:10:18-00:03:37]  (Local) -> (LOCAL)[1]|MZ|GasterHDZ: sapa gonorrienta
[2020:10:18-00:03:37]  (Global) -> [GT]~CARDING~SICARIO: ww
[2020:10:18-00:03:38]  (Global) -> #7F7F7F|CVR|#FF0000Zllanerito: mano no se , si quieres reconecta un momento
[2020:10:18-00:03:38]  (Global) -> Lauriita: OCAMPO DE MIERDA
[2020:10:18-00:03:39]  (Local) -> (LOCAL)[1]Arango: no uqe
[2020:10:18-00:03:39]  (Local) -> (LOCAL)[1](BGW)Danilo: no creo que se pueda
[2020:10:18-00:03:47]  (Local) -> (LOCAL)[1][GT]Santiago: por ese pedaje no
[2020:10:18-00:03:49]  (Global) -> Cornizo: Beo sapo no se burle de el Nacional o lo mando a matar
[2020:10:18-00:03:58]  (Local) -> (LOCAL)[1][Z]DanielFly: a patrullar
[2020:10:18-00:03:59]  (Local) -> (LOCAL)[1]Arango: el que
[2020:10:18-00:04:01]  (Local) -> (LOCAL)[1]GT|-PABLO-|LR: xd
[2020:10:18-00:04:03]  (Local) -> (LOCAL)[1]Arango: aaaaaaaaa
[2020:10:18-00:04:06]  (Global) -> JhonJairo: DONDE PUEDO GANAR MUCHA PLATA SIN TRABAJAR?
[2020:10:18-00:04:07]  (Local) -> (LOCAL)[1]GT|-Benson-|LR: lka
[2020:10:18-00:04:14]  (Global) -> 2cb'Jolyne: EY ESTOY EN OTRA DIMENSION, JAILENME PORFA XDDDDDDDDD
[2020:10:18-00:04:16]  (Team - Law Enforcement) -> (TEAM)Ceyjiei: ARRE
[2020:10:18-00:04:17]  (Local) -> (LOCAL)[0][GT]Santiago: por hay no pasa
[2020:10:18-00:04:19]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: ni
[2020:10:18-00:04:20]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: no
[2020:10:18-00:04:23]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: no haga eso
[2020:10:18-00:04:25]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: camilop202#4562
[2020:10:18-00:04:26]  (Global) -> Arango: todo cerdo ajajja
[2020:10:18-00:04:30]  (Global) -> 2cb'Jolyne: EXPECTAME SEMDS
[2020:10:18-00:04:32]  (Global) -> 2cb'Jolyne: XDDD
[2020:10:18-00:04:32]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: oee
[2020:10:18-00:04:36]  (Local) -> (LOCAL)[2]GT|-PABLO-|LR: ??
[2020:10:18-00:04:38]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: compren bici
[2020:10:18-00:04:43]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: y salimos a parchaar
[2020:10:18-00:04:44]  (Global) -> [GT]Santiago: jaja
[2020:10:18-00:04:45]  (Global) -> 2cb'Jolyne: GRACIAS PARSERO
[2020:10:18-00:04:51]  (Global) -> #7F7F7F|CVR|#FF0000Zllanerito: epa
[2020:10:18-00:04:58]  (Local) -> (LOCAL)[2]GT|-PABLO-|LR: easy
[2020:10:18-00:04:59]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: mos
[2020:10:18-00:05:00]  (Global) -> [S.A.S][G]Daniels: lo llevo?
[2020:10:18-00:05:03]  (Local) -> (LOCAL)[1][Z]DanielFly: maneje
[2020:10:18-00:05:07]  (Global) -> [CAPU]Dillom: quien
[2020:10:18-00:05:17]  (Local) -> (LOCAL)[2]JhonJairo: hagale tranqui
[2020:10:18-00:05:22]  (Global) -> [S.A.S][G]Daniels: dale pa
[2020:10:18-00:05:23]  (Local) -> (LOCAL)[1][Z]DanielFly: ya
[2020:10:18-00:05:40]  (Global) -> [CAPU]Dillom: a
[2020:10:18-00:05:49]  (Local) -> (LOCAL)[4]2cb'Jolyne: oe
[2020:10:18-00:05:51]  (Global) -> |MZ|GasterHDZ: ai
[2020:10:18-00:05:59]  (Local) -> (LOCAL)[4]2cb'Jolyne: no oigo mca
[2020:10:18-00:06:01]  (Global) -> |MZ|GasterHDZ: porque desaparece mi carga de camionero?
[2020:10:18-00:06:03]  (Local) -> (LOCAL)[4]2cb'Jolyne: haymusica
[2020:10:18-00:06:05]  (Local) -> (LOCAL)[4]2cb'Jolyne: aaa
[2020:10:18-00:06:07]  (Global) -> 2cb'Aliasg8: WTF
[2020:10:18-00:06:07]  (Local) -> (LOCAL)[4]2cb'Jolyne: 5 palos
[2020:10:18-00:06:09]  (Local) -> (LOCAL)[4]2cb'Jolyne: suave
[2020:10:18-00:06:13]  (Local) -> (LOCAL)[4]JhonJairo: ahh
[2020:10:18-00:06:17]  (Local) -> (LOCAL)[4]JhonJairo: no tengo plata
[2020:10:18-00:06:18]  (Global) -> Arango: me dio lag y se me desaparecio el coso
[2020:10:18-00:06:22]  (Local) -> (LOCAL)[0]|MZ|GasterHDZ: ains
[2020:10:18-00:06:23]  (Local) -> (LOCAL)[4]JhonJairo: no tengo nada xd
[2020:10:18-00:06:26]  (Global) -> |MZ|GasterHDZ: ain
[2020:10:18-00:06:29]  (Global) -> [GT]Santiago: ami tambien
[2020:10:18-00:06:36]  (Global) -> 2cb'Aliasg8: A MI TAMBIEN
[2020:10:18-00:06:37]  (Global) -> Elreybobert: lo llevo
[2020:10:18-00:06:41]  (Local) -> (LOCAL)[2]SebLS: Oe
[2020:10:18-00:06:42]  (Global) -> |MZ|GasterHDZ: bueno a todos
[2020:10:18-00:06:43]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|ReizerB: oe
[2020:10:18-00:06:44]  (Global) -> |MZ|GasterHDZ: xd
[2020:10:18-00:06:44]  (Local) -> (LOCAL)[2]SebLS: Me escucha?
[2020:10:18-00:06:47]  (Global) -> [GT]Santiago: el crgamento
[2020:10:18-00:06:47]  (Local) -> (LOCAL)[0]2cb'Aliasg8: xd
[2020:10:18-00:06:49]  (Local) -> (LOCAL)[5][Z]DanielFly: oe
[2020:10:18-00:06:50]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|ReizerB: entrecortado
[2020:10:18-00:06:54]  (Local) -> (LOCAL)[3](Z)Polo: q
[2020:10:18-00:06:55]  (Local) -> (LOCAL)[3][Z]DanielFly: soltalo
[2020:10:18-00:06:56]  (Team - Unemployed) -> (TEAM)[S.A.S][CAD]Rodriguez: no relajado
