This file was generated by Console at 2020:12:08-00:00:02



[2020:12:08-00:03:11]  (Global) -> |DJ|[Z]_VALLUCRISTO_: Actualizá
[2020:12:08-00:03:19]  (Global) -> Guarachera: Como
[2020:12:08-00:03:21]  (Local) -> (LOCAL)[6]Diaz: /resign
[2020:12:08-00:03:23]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: espera que sigue subiendo
[2020:12:08-00:03:25]  (Local) -> (LOCAL)[6]Diaz: Oq pq desactivaron J
[2020:12:08-00:03:25]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Estoy mandando
[2020:12:08-00:03:26]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|!Megu: Catre?
[2020:12:08-00:03:27]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Sisas
[2020:12:08-00:03:28]  (Global) -> [2CB]KEVIN: franco villar
[2020:12:08-00:03:29]  (Local) -> (LOCAL)[6]Diaz: pa tomar fts
[2020:12:08-00:03:29]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00KRcatre: dime
[2020:12:08-00:03:30]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Le hice rápido
[2020:12:08-00:03:31]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|!Megu: wooow
[2020:12:08-00:03:33]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|!Megu: Hola amigo
[2020:12:08-00:03:34]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: epa jajaj
[2020:12:08-00:03:38]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00KRcatre: hola amigo
[2020:12:08-00:03:39]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00|!Megu: no sabia que eras tu
[2020:12:08-00:03:45]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00KRcatre: XD
[2020:12:08-00:03:48]  (Global) -> 2cbfrancovillar: porloca
[2020:12:08-00:03:58]  (Global) -> 2cbfrancovillar: q
[2020:12:08-00:03:59]  (Global) -> 2cbfrancovillar: q
[2020:12:08-00:04:00]  (Global) -> 2cbfrancovillar: q
[2020:12:08-00:04:03]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: cuanto me enviaste
[2020:12:08-00:04:05]  (Global) -> 2cbLocaHp: callao franco
[2020:12:08-00:04:09]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: ya
[2020:12:08-00:04:12]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: 99 .999 palos
[2020:12:08-00:04:13]  (Local) -> (LOCAL)[7][2CB]KEVIN: neseito plata que hay que hacer para que me e algo
[2020:12:08-00:04:14]  (Local) -> (LOCAL)[3]2cB"elTrakegunz_|DDF|: a
[2020:12:08-00:04:15]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Le falta 1
[2020:12:08-00:04:17]  (Global) -> [Z]stivenv28|LP: #288228 Salen_Luu en twitch
[2020:12:08-00:04:19]  (Global) -> 2cbfrancovillar: donde esta
