This file was generated by Console at 2020:12:09-00:00:01



[2020:12:09-00:02:20]  (Local) -> (LOCAL)[9]Bocato: como esta
[2020:12:09-00:02:22]  (Local) -> (LOCAL)[9](2bC)-Santi_Adams: cual
[2020:12:09-00:02:22]  (Local) -> (LOCAL)[4]Ragnarok: hacemos trueque¿?
[2020:12:09-00:02:24]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Bernaaa: quitese elmp
[2020:12:09-00:02:25]  (Local) -> (LOCAL)[1]2cbfrancovillar: bendo camion
[2020:12:09-00:02:28]  (Local) -> (LOCAL)[4]Ragnarok: le tengo
[2020:12:09-00:02:30]  (Local) -> (LOCAL)[1][MZ]changua21: si yo se
[2020:12:09-00:02:33]  (Local) -> (LOCAL)[9]Bocato: bien patron
[2020:12:09-00:02:33]  (Local) -> (LOCAL)[4]BENDECIDO-|LR: UYYYYY QUIETO
[2020:12:09-00:02:34]  (Local) -> (LOCAL)[3][CAPU]JulianGg: el q se metaq se lo quemo
[2020:12:09-00:02:36]  (Local) -> (LOCAL)[3]Ragnarok: 22 de bazuco
[2020:12:09-00:02:36]  (Local) -> (LOCAL)[3]|DJ|CAPU|DoctorUribe: no hay nadie
[2020:12:09-00:02:38]  (Local) -> (LOCAL)[1][MZ]changua21: solo tengo 400k
[2020:12:09-00:02:39]  (Local) -> (LOCAL)[1]2cB"elTrakegunz_|DDF|: en la moto mk xd
[2020:12:09-00:02:41]  (Team - Criminals) -> (TEAM)Ragnarok: t gale 15
[2020:12:09-00:02:49]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: we
[2020:12:09-00:02:52]  (Local) -> (LOCAL)[3]BENDECIDO-|LR: SOLO VINIMOS A HACER BARRA Y ASI NOS TRATAN GAS
[2020:12:09-00:02:53]  (Global) -> _jimenez: coo ba con la casa
[2020:12:09-00:02:55]  (Local) -> (LOCAL)[3]Ragnarok: o cuanto me deja las 31
[2020:12:09-00:02:57]  (Local) -> (LOCAL)[10]WillowA.C.A.B: berna malparido
[2020:12:09-00:02:57]  (Local) -> (LOCAL)[3]|DJ|CAPU|DoctorUribe: pa donde cojemos
[2020:12:09-00:02:58]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: estas bien
