This file was generated by Console at 2020:09:17-00:00:00



[2020:09:17-00:00:52]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: yo hize eso como 100mil veces y no paso nada jsjs
[2020:09:17-00:00:56]  (Local) -> (LOCAL)[3]tussy: q
[2020:09:17-00:00:56]  (Local) -> (LOCAL)[1]GT|~Beltran: decir*
[2020:09:17-00:00:57]  (Local) -> (LOCAL)[31]Hector: Todo bien o que
[2020:09:17-00:01:00]  (Local) -> (LOCAL)[31]PabloLxOnYT: nada que hace como 2 meses no vengo
[2020:09:17-00:01:01]  (Local) -> (LOCAL)[1]TATA25: buenas
[2020:09:17-00:01:02]  (Local) -> (LOCAL)[31]Hector: que paso con yeici
[2020:09:17-00:01:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Por que usted viene recien salido de un ban
[2020:09:17-00:01:03]  (Global) -> (CT.S)_Yogan666: seguro espera miramos
[2020:09:17-00:01:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: RECIEN
[2020:09:17-00:01:06]  (Local) -> (LOCAL)[36]PabloLxOnYT: hay muchos nuevos
[2020:09:17-00:01:06]  (Local) -> (LOCAL)[36]Hector: yo tampoco. deje de jugar
[2020:09:17-00:01:09]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: dale
[2020:09:17-00:01:09]  (Local) -> (LOCAL)[36]Hector: Es que
[2020:09:17-00:01:09]  (Local) -> (LOCAL)[1]GT|~Beltran: aparte, en el dicord no hay algo para reportar por
[2020:09:17-00:01:11]  (Global) -> [GT]Wosito: puta madre marge
[2020:09:17-00:01:12]  (Local) -> (LOCAL)[1]GT|~Beltran: como decirlo
[2020:09:17-00:01:16]  (Local) -> (LOCAL)[38](CT.S)pablito2100: camilo
[2020:09:17-00:01:16]  (Team - Unemployed) -> (TEAM)[ESMAD]JulianGg: uy si eso es verdad jajaja
[2020:09:17-00:01:16]  (Local) -> (LOCAL)[38][S.A.S][Cad]sebas202: vomo me sientop
[2020:09:17-00:01:17]  (Local) -> (LOCAL)[38]Hector: Sqnti y yo hicimos un server nuevo
[2020:09:17-00:01:19]  (Local) -> (LOCAL)[38]Hector: esta re melo
[2020:09:17-00:01:19]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: yogan se acuerda de mi jsjsj
[2020:09:17-00:01:22]  (Local) -> (LOCAL)[40](CT.S)pablito2100: salgan
[2020:09:17-00:01:22]  (Team - Unemployed) -> (TEAM)[ESMAD]JulianGg: ahi muchohs nuevos
[2020:09:17-00:01:23]  (Local) -> (LOCAL)[1]GT|~Beltran: osea es que el tussy uno medio le dice algo
[2020:09:17-00:01:23]  (Global) -> culoacido: lo llevo a la ciudad?
[2020:09:17-00:01:25]  (Local) -> (LOCAL)[40]PabloLxOnYT: en el grupo de fb todo el mundo habla d eun tal tussy
[2020:09:17-00:01:25]  (Global) -> (BGW)arquero076tenaz: camine opal banco
[2020:09:17-00:01:27]  (Local) -> (LOCAL)[1]Torres: oe
[2020:09:17-00:01:27]  (Local) -> (LOCAL)[40]Hector: Lo estamos acomodando
[2020:09:17-00:01:28]  (Global) -> (BGW)Mohamed: ?
[2020:09:17-00:01:29]  (Local) -> (LOCAL)[42]juann: ojo con la motico
[2020:09:17-00:01:29]  (Local) -> (LOCAL)[1]GT|~Beltran: y ya se mete con la mama de uno._.
[2020:09:17-00:01:30]  (Global) -> LemonWolf: porfa
[2020:09:17-00:01:30]  (Local) -> (LOCAL)[42](CT.S)pablito2100: les quiero dar plomo
[2020:09:17-00:01:31]  (Global) -> penegrande: digame
[2020:09:17-00:01:31]  (Global) -> (CT.S)_Yogan666: si soy sincero no jajaj
[2020:09:17-00:01:32]  (Local) -> (LOCAL)[1]Torres: venga lo curp
[2020:09:17-00:01:32]  (Local) -> (LOCAL)[42]PabloLxOnYT: pero no se quien es jajjaja
[2020:09:17-00:01:32]  (Global) -> (BGW)ITZENIT: para?
[2020:09:17-00:01:34]  (Global) -> LemonWolf: gracias
[2020:09:17-00:01:35]  (Global) -> (BGW)ItsAlexys: agg pere haber si alcanza
[2020:09:17-00:01:36]  (Global) -> [BGW]V1OL4BURR4S: pongan la jeepeta
[2020:09:17-00:01:37]  (Local) -> (LOCAL)[41]Hector: Ammm
[2020:09:17-00:01:38]  (Global) -> (BGW)arquero076tenaz: o cuqanto vale
[2020:09:17-00:01:40]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: ajjajaj
[2020:09:17-00:01:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Eso es trolleo, no acoso
[2020:09:17-00:01:41]  (Global) -> [S.A.S][Cad]sebas202: sin quieto
[2020:09:17-00:01:42]  (Global) -> culoacido: espera xd
[2020:09:17-00:01:42]  (Local) -> (LOCAL)[42](BGW)camilop202: disparen
[2020:09:17-00:01:44]  (Global) -> Collazos: mero aragan
[2020:09:17-00:01:44]  (Local) -> (LOCAL)[2]Jabon: aa
[2020:09:17-00:01:46]  (Global) -> (BGW)Mohamed: evento no moleste
[2020:09:17-00:01:48]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: ese vento esta raro
[2020:09:17-00:01:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: A mi me tratan peor
[2020:09:17-00:01:49]  (Global) -> (CT.S)menorpatecumbias: Baneen y ya!!
[2020:09:17-00:01:52]  (Global) -> (RCA)GustavoPetro: donde es la rifaa
[2020:09:17-00:01:52]  (Local) -> (LOCAL)[43]Hector: Que pereza estos eventos jajaja
[2020:09:17-00:01:52]  (Local) -> (LOCAL)[1]GT|~Beltran: no estoy diciendo que acoso
[2020:09:17-00:01:53]  (Local) -> (LOCAL)[43](CT.S)VULKANUS: AJAJAJAJAJAA
[2020:09:17-00:01:53]  (Local) -> (LOCAL)[1]SantigoUribeParaco: algo facil de manejar?
[2020:09:17-00:01:54]  (Global) -> (BGW)KRONO: ve
[2020:09:17-00:01:54]  (Local) -> (LOCAL)[43](CT.S)pablito2100: mohamed
[2020:09:17-00:01:54]  (Local) -> (LOCAL)[42]PabloLxOnYT: lo quiero matar pa demostrar quien manda
[2020:09:17-00:01:56]  (Global) -> [GT]~$Fabio_vidal69$:): tussi quieto
[2020:09:17-00:01:56]  (Local) -> (LOCAL)[43](CT.S)VULKANUS: HUELE A MIERDA
[2020:09:17-00:01:57]  (Global) -> penegrande: gracias
[2020:09:17-00:01:57]  (Global) -> (BGW)arquero076tenaz: es la de gafas
[2020:09:17-00:01:58]  (Global) -> (BGW)Mohamed: ?
[2020:09:17-00:01:58]  (Local) -> (LOCAL)[3]Torres: listo
