This file was generated by Console at 2020:11:21-00:00:00



[2020:11:21-00:01:49]  (Local) -> (LOCAL)[1]LocaHP: pero las desactivaron
[2020:11:21-00:01:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Patches: alsdjñlasd
[2020:11:21-00:01:51]  (Local) -> (LOCAL)[1]LocaHP: por lag
[2020:11:21-00:01:51]  (Local) -> (LOCAL)[12]LDS-changua21: toda la policia es corrupta
[2020:11:21-00:01:51]  (Global) -> |Z|~IceWipe: sano
[2020:11:21-00:01:53]  (Local) -> (LOCAL)[0]|Z|~IceWipe: adelantame esos 15 palos, luego compras el hustler en 3palos
[2020:11:21-00:01:53]  (Global) -> 2cbScrimboy: you vehicle paint job has been changed by francine
[2020:11:21-00:01:54]  (Local) -> (LOCAL)[1]-_[Santiago]_-: ahh ok
[2020:11:21-00:01:56]  (Local) -> (LOCAL)[4]CAPU|'Smoky'Nagata: issh
[2020:11:21-00:01:56]  (Local) -> (LOCAL)[12]2cb-cmamo2013: szs
[2020:11:21-00:01:58]  (Local) -> (LOCAL)[3]CAPU|PASTOR_LOPEZ: te amo montes
[2020:11:21-00:02:02]  (Local) -> (LOCAL)[3]MontesSicario: te amo mas
[2020:11:21-00:02:03]  (Local) -> (LOCAL)[12]LDS-JuanPablo: ponganse la skin del nacional
[2020:11:21-00:02:04]  (Local) -> (LOCAL)[4]CAPU|'Smoky'Nagata: lo sento
[2020:11:21-00:02:05]  (Local) -> (LOCAL)[1]Jabon: xddd
[2020:11:21-00:02:05]  (Global) -> #7F7F7F|LG|#FF5C00|EVG|RicardoJorge|U&A|: JMM
[2020:11:21-00:02:06]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: wtf me equivoqué XDDDDDDDDDDDDDDDDDDD
[2020:11:21-00:02:06]  (Global) -> Cheverry: ayyyy fransin
[2020:11:21-00:02:06]  (Team - Criminals) -> (TEAM)LDSpablitogaviria: ey juan pablo y los del 2cgb se nos unieron?
[2020:11:21-00:02:09]  (Local) -> (LOCAL)[13]LDS-JuanPablo: cual es la id bellaco
[2020:11:21-00:02:09]  (Local) -> (LOCAL)[3]MontesSicario: smoky
[2020:11:21-00:02:10]  (Global) -> Julianmo69: cucho como le combio la reso pues?
[2020:11:21-00:02:10]  (Local) -> (LOCAL)[13]LDS-bellaqueohpt: /s ya somos 16 miembro hay q celebrar
[2020:11:21-00:02:14]  (Local) -> (LOCAL)[14]LDS-JuanPablo: no pablito
[2020:11:21-00:02:15]  (Local) -> (LOCAL)[2]CAPU|'Smoky'Nagata: dime
[2020:11:21-00:02:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Patches: pq gordo pirobo
[2020:11:21-00:02:16]  (Local) -> (LOCAL)[2]MontesSicario: arrestame
[2020:11:21-00:02:16]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: noo ya me quitaron el trabajo
[2020:11:21-00:02:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Patches: si quiere nos damos
[2020:11:21-00:02:18]  (Local) -> (LOCAL)[13]LDS-JuanPablo: 2cb es otra gang
[2020:11:21-00:02:18]  (Local) -> (LOCAL)[3]MontesSicario: te lo mereces
[2020:11:21-00:02:18]  (Local) -> (LOCAL)[3]CAPU|'Smoky'Nagata: brev
[2020:11:21-00:02:22]  (Local) -> (LOCAL)[13]LDSpablitogaviria: y que hace aqui
[2020:11:21-00:02:24]  (Local) -> (LOCAL)[1]Jabon: BNO NOS DAMOS
[2020:11:21-00:02:25]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: ya
[2020:11:21-00:02:28]  (Global) -> Cheverry: ayyyy fransin
[2020:11:21-00:02:30]  (Local) -> (LOCAL)[1]CAPU|'Smoky'Nagata: gracias
[2020:11:21-00:02:30]  (Local) -> (LOCAL)[3]2cbScrimboy: q significa eso?
[2020:11:21-00:02:33]  (Local) -> (LOCAL)[3]2cbScrimboy: you vehicle paint job has been changed by francine
[2020:11:21-00:02:33]  (Local) -> (LOCAL)[1]MontesSicario: ale pa
[2020:11:21-00:02:35]  (Local) -> (LOCAL)[1][FEC][G]Daniels: PA PERO COMO SE QUE NO ME VAS A ROBAR
[2020:11:21-00:02:35]  (Global) -> Cheverry: nvl 1
[2020:11:21-00:02:38]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: ni idea
[2020:11:21-00:02:44]  (Global) -> Cheverry: ������
[2020:11:21-00:02:44]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: también me salía
[2020:11:21-00:02:47]  (Local) -> (LOCAL)[1]|Z|~IceWipe: no mi pana, no es la primera vez que hago negocios
[2020:11:21-00:02:48]  (Local) -> (LOCAL)[1][FEC][G]Daniels: ASI NO TENGO NADA QUE PUEDA FIAR
[2020:11:21-00:02:48]  (Local) -> (LOCAL)[9]LDS-JuanPablo: subanse
[2020:11:21-00:02:52]  (Local) -> (LOCAL)[10]2cb'Python: uy
[2020:11:21-00:02:53]  (Local) -> (LOCAL)[10]LDS-JuanPablo: este pirobo que
[2020:11:21-00:02:53]  (Local) -> (LOCAL)[10]LDSpablitogaviria: ya
[2020:11:21-00:02:55]  (Local) -> (LOCAL)[3]2cbScrimboy: ya
[2020:11:21-00:02:57]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: bien pa
[2020:11:21-00:02:58]  (Global) -> #7F7F7F|CVR|#FF0000Megu: me mandais la invitacion para ser auc
[2020:11:21-00:02:59]  (Local) -> (LOCAL)[9]LDS-changua21: xd
[2020:11:21-00:03:01]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: buen negocio
[2020:11:21-00:03:07]  (Local) -> (LOCAL)[1]LocaHP: sabes q es vip?
[2020:11:21-00:03:09]  (Local) -> (LOCAL)[3]2cbScrimboy: melo melo
[2020:11:21-00:03:10]  (Local) -> (LOCAL)[9]LDS-JuanPablo: ASH
[2020:11:21-00:03:11]  (Local) -> (LOCAL)[3]2cbScrimboy: gracias pa
[2020:11:21-00:03:12]  (Local) -> (LOCAL)[10]LDSpablitogaviria: qitemee ek carro
[2020:11:21-00:03:14]  (Global) -> #7F7F7F|CVR|#FF5C00Patches: HEY GORDO JIP
[2020:11:21-00:03:14]  (Local) -> (LOCAL)[1]-_[Santiago]_-: si
[2020:11:21-00:03:15]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: nos vemos ps
[2020:11:21-00:03:17]  (Local) -> (LOCAL)[10]LDSpablitogaviria: quiteme el varro+asd
[2020:11:21-00:03:19]  (Local) -> (LOCAL)[1]LocaHP: a q bn
[2020:11:21-00:03:22]  (Local) -> (LOCAL)[1]LocaHP: pensaba q no
[2020:11:21-00:03:22]  (Local) -> (LOCAL)[3]2cbScrimboy: vemos pa
[2020:11:21-00:03:22]  (Local) -> (LOCAL)[2]Ozuna: viejo dejeme quieto
