This file was generated by Console at 2021:02:10-00:00:01



[2021:02:10-00:00:56]  (Local) -> (LOCAL)[10]MINI/2CB: no saque ese pajarogrande
[2021:02:10-00:00:56]  (Local) -> (LOCAL)[4]Randyy|Z|: oe felipe
[2021:02:10-00:00:57]  (Global) -> DJMiguelM|GT: YA REVISO PA
[2021:02:10-00:00:57]  (Global) -> BurlyBeard68: bn o no
[2021:02:10-00:00:57]  (Local) -> (LOCAL)[10]Brahian'2cb: venga patron
[2021:02:10-00:00:59]  (Global) -> Spider-Man: mande
[2021:02:10-00:01:01]  (Local) -> (LOCAL)[3]JACK: usted es el rarito que viene a ese bar gay
[2021:02:10-00:01:01]  (Global) -> BurlyBeard68: breve
[2021:02:10-00:01:01]  (Local) -> (LOCAL)[2]Petrobb|2cb: carrerita o k
[2021:02:10-00:01:02]  (Local) -> (LOCAL)[1]Orion||CAPU: jueputa
[2021:02:10-00:01:02]  (Local) -> (LOCAL)[5]SALCHIPAPERO(RCA): oe
[2021:02:10-00:01:03]  (Local) -> (LOCAL)[3]Felipex1314: que trabajo da mas plata?
[2021:02:10-00:01:04]  (Global) -> (SANTIAGO)(Z): se quiere ir
[2021:02:10-00:01:05]  (Global) -> COSCULLUELA"2cb: adm no me puedo mover
[2021:02:10-00:01:07]  (Global) -> LonelyLeeks65: asiendo untrabajo para comprar una moto
[2021:02:10-00:01:08]  (Local) -> (LOCAL)[1]Orion||CAPU: Ey
[2021:02:10-00:01:10]  (Global) -> Chirrete_Periquero: ta
[2021:02:10-00:01:11]  (Global) -> #7F7F7F|ADM|#FF0000Francine98: COSCULLUELA"2cb dale M
[2021:02:10-00:01:11]  (Local) -> (LOCAL)[5]Popeye_Vasques(RCA): esto es medalllo
[2021:02:10-00:01:11]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': DIME
[2021:02:10-00:01:12]  (Local) -> (LOCAL)[1]Sou^lder]: ole
[2021:02:10-00:01:12]  (Local) -> (LOCAL)[2]manchita(2cb): cuanto se apuesta
[2021:02:10-00:01:13]  (Global) -> Chirrete_Periquero: ya
[2021:02:10-00:01:13]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: COSCULLUELA"2cb presiona M
[2021:02:10-00:01:15]  (Local) -> (LOCAL)[3]Randyy|Z|: busetero o piloto o robar
[2021:02:10-00:01:16]  (Local) -> (LOCAL)[1]Orion||CAPU: Digame pues ome
[2021:02:10-00:01:16]  (Local) -> (LOCAL)[7]alias_topo[ELN]: parece
[2021:02:10-00:01:18]  (Global) -> El_zarco[AK]: uy mijo yo creo que nos e va a poder.
[2021:02:10-00:01:19]  (Local) -> (LOCAL)[1]Orion||CAPU: MOSTRAME los mlps H3
[2021:02:10-00:01:21]  (Local) -> (LOCAL)[2]Mojarra: usted tiene cara de camellador
[2021:02:10-00:01:21]  (Local) -> (LOCAL)[1]Orion||CAPU: ASH
[2021:02:10-00:01:22]  (Local) -> (LOCAL)[2]Petrobb|2cb: 20k o k
[2021:02:10-00:01:23]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': NEA DEME EL YATE
