This file was generated by Console at 2020:11:15-00:00:00



[2020:11:15-00:02:07]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#0064FFCAPU|~CapuCurioso~|: XDDD
[2020:11:15-00:02:09]  (Local) -> (LOCAL)[2]ElKevinnPai: nadie te lo v avender a eso
[2020:11:15-00:02:10]  (Local) -> (LOCAL)[4]2cb'Fabius: ey
[2020:11:15-00:02:14]  (Local) -> (LOCAL)[2]ElKevinnPai: es rare
[2020:11:15-00:02:14]  (Local) -> (LOCAL)[4]2cb~>Walter: la skin 137
[2020:11:15-00:02:14]  (Local) -> (LOCAL)[1][MZ]santi: pongalo del celuco
[2020:11:15-00:02:16]  (Local) -> (LOCAL)[4]LondoZ: a ver hagale
[2020:11:15-00:02:18]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: megu
[2020:11:15-00:02:18]  (Local) -> (LOCAL)[1][MZ]santi: non
[2020:11:15-00:02:19]  (Local) -> (LOCAL)[4]2cb~>Walter: ya tendra mod
[2020:11:15-00:02:22]  (Local) -> (LOCAL)[4]2cb'Fabius: no se
[2020:11:15-00:02:25]  (Local) -> (LOCAL)[1][MZ]Gaster: aino
[2020:11:15-00:02:26]  (Local) -> (LOCAL)[4]2cb'Fabius: no uso mods xd
[2020:11:15-00:02:29]  (Local) -> (LOCAL)[5]SU_TIA:LACALVA: kkkk
[2020:11:15-00:02:29]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: megu
[2020:11:15-00:02:29]  (Local) -> (LOCAL)[4]2cb~>Walter: ponetela
[2020:11:15-00:02:30]  (Local) -> (LOCAL)[4]2cb~>Walter: xd
[2020:11:15-00:02:31]  (Local) -> (LOCAL)[5]SU_TIA:LACALVA: severo lag
[2020:11:15-00:02:31]  (Global) -> LIan: pa comelno
[2020:11:15-00:02:34]  (Global) -> LIan: vamo a bolar
[2020:11:15-00:02:37]  (Local) -> (LOCAL)[1][BGW]CARDING: donde es eso
[2020:11:15-00:02:37]  (Global) -> LIan: a pelar gente
[2020:11:15-00:02:43]  (Local) -> (LOCAL)[1][MZ]Gaster: gei
[2020:11:15-00:02:44]  (Global) -> LIan: en el suelo
[2020:11:15-00:02:46]  (Global) -> LIan: ahre
[2020:11:15-00:02:49]  (Local) -> (LOCAL)[1][MZ]Gaster: no puedo usar el job
[2020:11:15-00:02:52]  (Global) -> Chenchoenp: gracias por el tema rey
[2020:11:15-00:02:52]  (Local) -> (LOCAL)[1][MZ]Gaster: 6 estrellas
[2020:11:15-00:02:53]  (Local) -> (LOCAL)[1][MZ]santi: pq
[2020:11:15-00:02:54]  (Local) -> (LOCAL)[1][MZ]Gaster: duh
[2020:11:15-00:02:55]  (Local) -> (LOCAL)[1][MZ]santi: ai
[2020:11:15-00:02:58]  (Local) -> (LOCAL)[1]Retto: ya?
[2020:11:15-00:02:59]  (Local) -> (LOCAL)[1]CAPU|Elmenor: LISTO
[2020:11:15-00:03:01]  (Local) -> (LOCAL)[4]2cb'Fabius: baile compai
[2020:11:15-00:03:03]  (Local) -> (LOCAL)[1][MZ]santi: yora
[2020:11:15-00:03:04]  (Global) -> LIan: k asco
[2020:11:15-00:03:05]  (Global) -> #7F7F7F|CVR|#0064FFKREATOR: KR BABY
