This file was generated by Console at 2021:02:09-00:00:01



[2021:02:09-00:01:09]  (Local) -> (LOCAL)[1]Petrobb|2cb: ale ps
[2021:02:09-00:01:10]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA): GRACIAS AMNO
[2021:02:09-00:01:12]  (Local) -> (LOCAL)[1]Buitre[2aucB]: yo que voy a hacer con una modelo colombiana
[2021:02:09-00:01:15]  (Local) -> (LOCAL)[1]Petrobb|2cb: vamos por ella y que se lo diga ella
[2021:02:09-00:01:16]  (Local) -> (LOCAL)[1]Buitre[2aucB]: :c
[2021:02:09-00:01:17]  (Global) -> (SANTIAGO)(Z): saque el pajaro
[2021:02:09-00:01:18]  (Global) -> Jaguer_YT(RCA): parce euro
[2021:02:09-00:01:20]  (Local) -> (LOCAL)[1]Buitre[2aucB]: no sr
[2021:02:09-00:01:23]  (Global) -> Jaguer_YT(RCA): euronymus
[2021:02:09-00:01:26]  (Global) -> Tabares[EVG]: admin 
[2021:02:09-00:01:28]  (Local) -> (LOCAL)[12]MINI/2CB: flota de ferraris
[2021:02:09-00:01:30]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: Hola
[2021:02:09-00:01:40]  (Global) -> (SANTIAGO)(Z): muestra
[2021:02:09-00:01:44]  (Local) -> (LOCAL)[1]ZEUS: POR PIROBO
[2021:02:09-00:01:44]  (Global) -> Loca.I."2cb: XD
[2021:02:09-00:01:53]  (Global) -> Tabares[EVG]:  no me an puesto mi vip esmeralda 
[2021:02:09-00:02:01]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF0000Tra2cb: jose25=)[1] vealo matando con job
[2021:02:09-00:02:02]  (Global) -> Jaguer_YT(RCA): euronymus
[2021:02:09-00:02:03]  (Global) -> #7F7F7F|ADM|#FF0000CrudoMeansRaw|EVG|: Cuando entre un lv4 te lo ponen pa
[2021:02:09-00:02:05]  (Global) -> DemoliZM~|GT: uuuuuuuuuuuuuuyyyyy
[2021:02:09-00:02:05]  (Local) -> (LOCAL)[8]Toreto: hablalo
[2021:02:09-00:02:06]  (Global) -> (SANTIAGO)(Z): uy
[2021:02:09-00:02:06]  (Local) -> (LOCAL)[7]Loca.I."2cb: ey q
[2021:02:09-00:02:07]  (Local) -> (LOCAL)[8]Toreto: tabares
[2021:02:09-00:02:09]  (Local) -> (LOCAL)[7]Loca.I."2cb: no era disq alianza
[2021:02:09-00:02:10]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: Tabares[EVG] ya estará logeando un lvl 4 prontamente
[2021:02:09-00:02:10]  (Local) -> (LOCAL)[1]Buitre[2aucB]: *llora*
[2021:02:09-00:02:11]  (Local) -> (LOCAL)[8]Toreto: se va a ser quebrar?
[2021:02:09-00:02:12]  (Local) -> (LOCAL)[5]Cristhian2cb: F
[2021:02:09-00:02:13]  (Local) -> (LOCAL)[7]Loca.I."2cb: aucx2cb
[2021:02:09-00:02:13]  (Local) -> (LOCAL)[1]Petrobb|2cb: que le paso loka
[2021:02:09-00:02:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: quién es tabares
[2021:02:09-00:02:15]  (Global) -> Tabares[EVG]: breve 
[2021:02:09-00:02:18]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF0000Tra2cb: a volarme de la cana si si
[2021:02:09-00:02:18]  (Global) -> DemoliZM~|GT: sooonn noviooos
[2021:02:09-00:02:20]  (Local) -> (LOCAL)[1]Buitre[2aucB]: jajajajajajaja
[2021:02:09-00:02:20]  (Local) -> (LOCAL)[6]ElFlechas[ak]: jaja
[2021:02:09-00:02:21]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw|EVG|: ni puta idea ajja
[2021:02:09-00:02:22]  (Local) -> (LOCAL)[4]MINI/2CB: vamos ps
[2021:02:09-00:02:23]  (Local) -> (LOCAL)[1]Buitre[2aucB]: camine
[2021:02:09-00:02:24]  (Local) -> (LOCAL)[5]Toloteli|2cb|$$: .-.
[2021:02:09-00:02:25]  (Local) -> (LOCAL)[4]Toreto: opjala lo vea por ahi
[2021:02:09-00:02:26]  (Local) -> (LOCAL)[1]Petrobb|2cb: ella ya cae
[2021:02:09-00:02:26]  (Global) -> Jaguer_YT(RCA): euronymous
[2021:02:09-00:02:28]  (Local) -> (LOCAL)[10]MINI/2CB: suba
[2021:02:09-00:02:29]  (Local) -> (LOCAL)[16]javierRD|AK|: Katy[MP]
[2021:02:09-00:02:30]  (Local) -> (LOCAL)[1]Petrobb|2cb: ya la vio?
[2021:02:09-00:02:31]  (Local) -> (LOCAL)[6]Apu_N: manquito te papeo con escopeta
[2021:02:09-00:02:45]  (Local) -> (LOCAL)[1]ZEUS: SAPA PERRA SOLTAME
[2021:02:09-00:02:53]  (Local) -> (LOCAL)[15]santiago_miguel[GT]: UNO COMO SE MONTA ASI
[2021:02:09-00:02:53]  (Local) -> (LOCAL)[1]:-Euronymous-666-:: Oelo
[2021:02:09-00:02:54]  (Local) -> (LOCAL)[1]Buitre[2aucB]: vamos atanqueaR A LA CONSENTIDA
[2021:02:09-00:02:58]  (Local) -> (LOCAL)[1]Petrobb|2cb: ale
[2021:02:09-00:02:59]  (Local) -> (LOCAL)[16]DemoliZM~|GT: vamo
[2021:02:09-00:03:01]  (Local) -> (LOCAL)[1]Buitre[2aucB]: a
[2021:02:09-00:03:04]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF0000Tra2cb: volado
[2021:02:09-00:03:04]  (Local) -> (LOCAL)[16]Fear|2cb: visajoso
[2021:02:09-00:03:12]  (Global) -> Trabis[EVG]: yo de buena onda que me cure y me  mata
[2021:02:09-00:03:12]  (Local) -> (LOCAL)[2]Petrobb|2cb: ya la vio?
[2021:02:09-00:03:15]  (Global) -> Trabis[EVG]: medico hp
[2021:02:09-00:03:16]  (Global) -> (SANTIAGO)(Z): suba
[2021:02:09-00:03:17]  (Local) -> (LOCAL)[16]DemoliZM~|GT: viejo sabroso
[2021:02:09-00:03:17]  (Local) -> (LOCAL)[1]Buitre[2aucB]: que
[2021:02:09-00:03:19]  (Local) -> (LOCAL)[1]Buitre[2aucB]: sisas
[2021:02:09-00:03:19]  (Local) -> (LOCAL)[16]javierRD|AK|: te ando buscando
[2021:02:09-00:03:22]  (Local) -> (LOCAL)[1]Petrobb|2cb: a lau
[2021:02:09-00:03:23]  (Local) -> (LOCAL)[0]FL_STUDIO[GT]: hp
[2021:02:09-00:03:26]  (Local) -> (LOCAL)[16]javierRD|AK|: bamos por la moto o q
[2021:02:09-00:03:26]  (Team - Services) -> (TEAM)FL_STUDIO[GT]: hp
[2021:02:09-00:03:30]  (Global) -> Jaguer_YT(RCA): euronymous
[2021:02:09-00:03:31]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw|EVG|: uy q
[2021:02:09-00:03:32]  (Global) -> Andyf301: XD
[2021:02:09-00:03:40]  (Local) -> (LOCAL)[15]DemoliZM~|GT: como es happy
[2021:02:09-00:03:41]  (Local) -> (LOCAL)[7]Loca.I."2cb: q
[2021:02:09-00:03:48]  (Local) -> (LOCAL)[6]ZEUS: BALA
[2021:02:09-00:03:54]  (Local) -> (LOCAL)[16]DemoliZM~|GT: uno vs uno con pollitos de goma o que
[2021:02:09-00:03:55]  (Local) -> (LOCAL)[6]ZEUS: poseo problemas
[2021:02:09-00:04:02]  (Global) -> Carlos_Escobar: donde queda el cine
[2021:02:09-00:04:02]  (Local) -> (LOCAL)[2]Toreto: los am
[2021:02:09-00:04:07]  (Local) -> (LOCAL)[2]Toreto: los amo bandidos
[2021:02:09-00:04:09]  (Local) -> (LOCAL)[16]MINI/2CB: ey como me safo
[2021:02:09-00:04:09]  (Local) -> (LOCAL)[2]Flaco|2cb: ztoreto
[2021:02:09-00:04:12]  (Team - Unemployed) -> (TEAM)Petrobb|2cb: entons
[2021:02:09-00:04:13]  (Local) -> (LOCAL)[1]Buitre[2aucB]: suba
[2021:02:09-00:04:15]  (Local) -> (LOCAL)[1]Petrobb|2cb: como le parecio
[2021:02:09-00:04:16]  (Local) -> (LOCAL)[2]Flaco|2cb: oeee
[2021:02:09-00:04:20]  (Local) -> (LOCAL)[1]Toreto: poe
[2021:02:09-00:04:21]  (Global) -> #7F7F7F|ADM|#FF0000LopezMayweather: Randyy|Z| No creía en el amor a primera vista hasta que entraste aquí
[2021:02:09-00:04:21]  (Local) -> (LOCAL)[1]Flaco|2cb: ey
[2021:02:09-00:04:21]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: Habla LopezMayweather
[2021:02:09-00:04:22]  (Local) -> (LOCAL)[5]Skippers|GT|: salta
[2021:02:09-00:04:23]  (Local) -> (LOCAL)[1]Flaco|2cb: venga
[2021:02:09-00:04:24]  (Local) -> (LOCAL)[5]javierRD|AK|: Katy[MP] bamos
[2021:02:09-00:04:24]  (Local) -> (LOCAL)[1]Toreto: mi broowcito
[2021:02:09-00:04:25]  (Local) -> (LOCAL)[1]Petrobb|2cb: inalcanzable?
[2021:02:09-00:04:26]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: JAJAJAJAJAJAJAJA
