This file was generated by Console at 2021:01:19-00:00:00



[2021:01:19-00:01:42]  (Local) -> (LOCAL)[4](RCA)GustavoPetro: oe
[2021:01:19-00:01:44]  (Global) -> (SANTIAGO): usted no es admi
[2021:01:19-00:01:45]  (Local) -> (LOCAL)[4]PININA^SAYAYIN: mini
[2021:01:19-00:01:46]  (Local) -> (LOCAL)[2](Z)LOKILLO: pere
[2021:01:19-00:01:47]  (Local) -> (LOCAL)[4](RCA)GustavoPetro: si vca vender drogas?
[2021:01:19-00:01:47]  (Global) -> FUMARATTO: NICO ROUSE HP
[2021:01:19-00:01:49]  (Local) -> (LOCAL)[3]2cb/MINI: aja
[2021:01:19-00:01:49]  (Local) -> (LOCAL)[4](RCA)ivanduque: si soy admin
[2021:01:19-00:01:50]  (Local) -> (LOCAL)[1]2cb'Eusebio: viene al marcador y spawnea una mula
[2021:01:19-00:01:50]  (Global) -> (SANTIAGO): mentiroso
[2021:01:19-00:01:50]  (Local) -> (LOCAL)[5]TIROFIJO420: ey
[2021:01:19-00:01:55]  (Local) -> (LOCAL)[5]TIROFIJO420: porque los borra
[2021:01:19-00:01:55]  (Local) -> (LOCAL)[3]PININA^SAYAYIN: me quitaron todo nea
[2021:01:19-00:01:55]  (Local) -> (LOCAL)[2](Z)LOKILLO: como ?
[2021:01:19-00:01:56]  (Local) -> (LOCAL)[4](RCA)_Feid: SZS
[2021:01:19-00:01:56]  (Global) -> Panda[420]: como le suvo el volumen a la musica
[2021:01:19-00:01:57]  (Local) -> (LOCAL)[5](RCA)ivanduque: ole
[2021:01:19-00:01:57]  (Local) -> (LOCAL)[4]TIROFIJO420: no los borre pa
[2021:01:19-00:01:58]  (Local) -> (LOCAL)[4](RCA)_Feid: PORQUE?
[2021:01:19-00:02:00]  (Global) -> FUMARATTO: NO LE VOY A PASAR EL PROYECTO 
[2021:01:19-00:02:00]  (Local) -> (LOCAL)[2]2cb/MINI: ajaj cuanto tenia
[2021:01:19-00:02:01]  (Local) -> (LOCAL)[4]BANANANEGRA: como es
[2021:01:19-00:02:02]  (Local) -> (LOCAL)[2](Z)LOKILLO: XD
[2021:01:19-00:02:02]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: que ravia con ese pirobo
